"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","SE",360,"4","2011","30",23178,17682,0,0,,,,,,,,,0,0,0,0,0,,50,,0,599,0,,4897,,"3","3","NA","1","1","1","1","1","1","1","3","4","NA","3","3","2","2","2","2","1","2","5","2","1","NA","1092.24","970.3","NA","1","1",,"1",1,,,,,
"2011","SE",361,"1","2011","18",26,-3422,0,0,,,,,,,,,0,0,0,0,0,,26,,0,0,0,,3448,,"3","3","NA","1","1","1","1","1","1","1","1","5","1048.51","3","NA","1","2","2","2","4","2","6","2","1","NA","NA","472.99","NA","1","1",,"1",1,,,,,
"2011","SE",363,"3","2011","30",82480,73402,0,0,,,,,,,,,0,0,0,0,0,,46662,,0,1036,0,,8042,,"3","3","NA","1","1","1","1","1","1","1","1","3","NA","3","1","2","2","2","2","1","2","4","2","1","NA","848.25","692.96","NA","1","1",,"1",1,,,,,
"2011","SE",366,"3","2011","18",38879,25982,0,0,,,,,,,,,0,0,0,0,0,,474,,0,0,0,,12897,,"3","3","NA","1","1","1","1","1","1","1","1","6","1048.51","3","NA","2","2","2","2","1","2","6","2","1","NA","583.29","1611.88","NA","1","1",,"1",1,,,,,
"2011","SE",396,"2","2011","10",21674,15749,0,0,,,,,,,,,0,0,0,0,0,,0,,0,713,0,,5211,,"3","3","NA","NA","1","1","1","1","1","1","1","4","2935.84","3","NA","1","1","2","1","1","3","5","2","1","NA","837.55","529.29","NA","1","1",,"1",1,,,,,
"2011","SE",398,"1","2011","33",18369,13635,0,0,,,,,,,,,0,0,0,0,0,,0,,0,68,0,,4666,,"3","3","3","1","1","1","1","1","1","1","3","4","1572.77","3","3","2","2","2","2","1","3","2","2","1","NA","NA","652.07","NA","1","1",,"1",1,,,,,
"2011","SE",400,"3","2011","9",42340,37520,0,0,,,,,,,,,0,0,0,6098,0,,0,,0,526,0,,4294,,"3","3","NA","1","2","2","1","1","1","1","1","3","2621.29","2","2","2","2","2","2","1","2","6","2","NA","NA","837.55","1125.06","NA","1","1",,"1",1,,,,,
"2011","SE",416,"2","2011","15",18874,11509,0,0,,,,,,,,,0,0,0,0,0,,6537,,0,0,0,,7364,,"3","3","NA","1","1","2","1","1","1","1","1","2","NA","2","NA","2","2","2","2","2","2","6","2","1","NA","1092.24","399.38","NA","1","1",,"1",1,,,,,
"2011","SE",451,"3","2011","21",22463,7527,0,0,,,,,,,,,0,0,0,0,0,,451,,0,1849,0,,13087,,"3","3","NA","1","1","1","1","1","1","1","1","6","1992.18","NA","3","2","2","2","2","1","3","4","2","1","996.09","787.02","391.2","NA","1","1",,"1",1,,,,,
"2011","SE",481,"2","2011","21",26380,19088,0,0,,,,,,,,,0,0,0,0,0,,146,,0,0,0,,7292,,"3","3","NA","1","1","1","1","1","1","1","1","6","2306.73","3","NA","2","2","2","2","1","2","6","2","1","NA","787.02","808.51","NA","1","1",,"1",1,,,,,
"2011","SE",493,"3","2011","10",38536,35048,0,0,,,,,,,,,0,0,0,0,0,,558,,0,0,0,,3489,,"3","3","3","1","1","1","1","1","1","1","1","6","2621.29","2","NA","2","2","2","2","1","2","6","2","1","NA","978.47","519.43","NA","1","1",,"1",1,,,,,
"2011","SE",503,"3","2011","NA",21489,13091,0,0,,,,,,,,,0,0,0,0,0,,155,,0,2131,0,,6266,,"3","3","NA","1","1","2","1","1","1","1","1","2","NA","3","1","2","1","2","2","4","2","6","1","1","419.41","NA","342.03","NA","1","1",,"1",1,,,,,
"2011","SE",513,"4","2011","NA",8824,4636,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4188,,"3","3","NA","1","1","2","1","1","1","1","1","6","NA","3","3","2","2","2","2","2","2","4","2","1","NA","696","712.47","NA","1","1",,"1",1,,,,,
"2011","SE",514,"3","2011","42",12593,12575,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,18,,"3","3","3","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","4","2","4","2","1","NA","848.25","794.67","NA","1","1",,"1",1,,,,,
"2011","SE",562,"3","2011","17",23944,10473,0,0,,,,,,,,,0,0,0,0,0,,24,,0,0,0,,13471,,"3","3","NA","2","1","2","1","1","1","1","1","4","2935.84","3","NA","2","2","2","2","2","2","5","2","1","978.47","NA","745.6","0","1","1",,"1",1,,,,,
"2011","SE",570,"2","2011","33",13364,9057,0,0,,,,,,,,,0,0,0,0,0,,221,,0,0,0,,4307,,"3","3","NA","1","1","1","1","1","1","1","3","4","3145.54","3","3","2","2","2","2","2","2","5","2","1","NA","1092.24","745.07","NA","1","1",,"1",1,,,,,
"2011","SE",575,"1","2011","10",9539,4658,0,0,,,,,,,,,0,0,0,0,0,,269,,0,0,0,,4881,,"3","3","NA","1","1","1","1","1","2","1","3","4","2778.56","1","3","2","2","2","2","4","2","6","1","1","524.26","NA","295.05","NA","1","1",,"1",1,,,,,
"2011","SE",592,"2","2011","16",1299,-3103,0,0,,,,,,,,,0,0,0,0,0,,266,,0,0,0,,4401,,"3","3","NA","1","1","1","1","1","1","1","1","4","2621.29","3","3","2","2","2","2","4","3","3","2","1","NA","NA","624.08","NA","1","1",,"1",1,,,,,
"2011","SE",602,"3","2011","19",15011,1785,0,0,,,,,,,,,0,0,0,0,0,,22,,0,0,0,,13226,,"3","3","3","1","1","1","1","1","1","1","1","3","2621.29","3","NA","2","2","2","2","1","3","5","2","1","NA","NA","1045.79","NA","1","1",,"1",1,,,,,
"2011","SE",609,"4","2011","44",8611,8226,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,384,,"3","3","3","1","1","1","1","1","1","1","3","4","524.26","3","NA","2","2","2","2","1","3","2","2","1","NA","719.18","794.67","NA","1","1",,"1",1,,,,,
"2011","SE",621,"1","2011","19",88793,79107,0,0,,,,,,,,,0,0,0,0,0,,0,,0,267,0,,9419,,"3","3","NA","1","1","1","1","1","1","1","1","3","1572.77","1","NA","2","2","2","2","1","2","6","2","1","NA","1092.24","1038.24","NA","1","1",,"1",1,,,,,
"2011","SE",654,"3","2011","17",0,-3405,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3405,,"3","1","NA","1","1","1","1","1","1","1","1","3","2621.29","3","3","2","2","2","2","4","3","5","2","1","NA","586.96","535.79","NA","1","1",,"1",1,,,,,
"2011","SE",664,"3","2011","37",0,-1544,0,0,,,,,,,,,0,0,0,0,0,,0,,0,94,0,,1450,,"3","3","NA","1","1","1","1","1","1","1","1","5","1258.22","3","NA","2","2","2","2","1","2","6","2","1","NA","837.55","615.27","NA","1","1",,"1",1,,,,,
"2011","SE",666,"1","2011","10",24942,18451,0,0,,,,,,,,,0,0,0,0,0,,3405,,0,1838,0,,4653,,"3","3","3","1","1","1","1","1","3","1","1","4","1258.22","2","NA","2","2","2","2","1","3","2","2","1","NA","533.9","401.27","NA","1","1",,"1",1,,,,,
"2011","SE",667,"3","2011","12",30755,24939,0,0,,,,,,,,,0,0,0,0,0,,2083,,0,0,0,,5816,,"NA","3","NA","1","1","1","1","1","1","1","1","6","NA","1","2","2","2","2","2","1","3","2","2","1","NA","848.25","1017.06","NA","1","1",,"1",1,,,,,
"2011","SE",674,"1","2011","17",25769,17883,0,0,,,,,,,,,0,0,0,0,0,,125,,0,0,0,,7887,,"3","3","NA","1","1","1","1","1","1","1","1","6","2097.03","2","NA","2","2","2","2","1","2","6","2","1","NA","1092.24","681.12","NA","1","1",,"1",1,,,,,
"2011","SE",677,"3","2011","13",6376,6353,0,0,,,,,,,,,0,0,0,0,0,,44,,0,0,0,,22,,"3","3","NA","1","1","1","1","1","2","1","1","6","NA","3","NA","2","1","2","1","1","2","3","2","1","NA","1092.24","464.18","NA","1","1",,"1",1,,,,,
"2011","SE",716,"1","2011","16",40922,16077,0,0,,,,,,,,,0,0,0,0,0,,1348,,0,0,0,,24844,,"3","3","3","1","1","1","1","1","1","1","1","6","629.11","3","NA","2","2","2","2","1","2","6","2","1","NA","1092.24","622.5","NA","1","1",,"1",1,,,,,
"2011","SE",737,"3","2011","20",15497,-8112,0,0,,,,,,,,,0,0,0,0,0,,699,,0,0,0,,23609,,"3","3","NA","1","1","1","1","1","1","1","3","5","1048.51","2","2","2","2","2","2","1","3","1","2","1","NA","586.96","508.11","NA","1","1",,"1",1,,,,,
"2011","SE",827,"3","2011","18",31827,20375,0,0,,,,,,,,,0,0,0,0,0,,1971,,0,0,0,,11451,,"NA","3","3","1","1","2","1","1","1","1","1","6","NA","3","2","2","1","2","2","4","3","5","2","1","464.49","1092.24","568.61","NA","1","1",,"1",1,,,,,
"2011","SE",846,"4","2011","11",30231,23508,0,0,,,,,,,,,0,0,0,0,0,,2,,0,0,0,,6723,,"3","3","NA","1","1","2","1","1","1","1","1","5","681.53","1","NA","2","2","2","2","1","2","2","2","1","NA","NA","546.38","NA","1","1",,"1",1,,,,,
"2011","SE",851,"3","2011","18",56953,45754,0,0,,,,,,,,,0,0,0,9039,0,,84,,0,0,0,,11199,,"NA","3","NA","1","1","1","1","1","1","1","3","5","NA","2","NA","2","2","2","1","1","2","5","2","1","719.18","848.25","722.43","NA","1","1",,"1",1,,,,,
"2011","SE",858,"2","2011","38",28463,5992,0,0,,,,,,,,,0,0,0,0,0,,450,,0,0,0,,22471,,"3","3","3","1","1","2","1","1","1","1","1","2","3145.54","2","NA","2","2","2","2","4","2","2","2","1","NA","1092.24","959.29","NA","1","1",,"1",1,,,,,
"2011","SE",862,"3","2011","15",35306,24895,0,0,,,,,,,,,0,0,0,0,0,,37,,0,0,0,,10411,,"NA","3","NA","1","1","1","1","1","1","1","1","5","1572.77","2","NA","2","2","2","2","1","3","6","2","1","1092.24","1092.24","1068.44","NA","1","1",,"1",1,,,,,
"2011","SE",876,"3","2011","36",6795,-4071,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10866,,"3","3","3","1","1","1","1","1","1","1","1","4","2306.73","1","NA","2","2","2","1","1","3","6","2","1","NA","978.47","827.91","NA","1","1",,"1",1,,,,,
"2011","SE",880,"2","2011","45",786,-1957,0,0,,,,,,,,,0,0,0,0,0,,786,,0,0,0,,2742,,"NA","3","3","1","1","1","1","1","3","1","3","6","1572.77","3","NA","2","2","2","1","3","3","6","2","1","NA","NA","600.48","0","1","1",,"1",1,,,,,
"2011","SE",921,"3","2011","8",10785,1389,0,0,,,,,,,,,0,0,0,0,0,,433,,0,1642,0,,7755,,"3","3","1","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","2","4","2","1","NA","848.25","1038.24","NA","1","1",,"1",1,,,,,
"2011","SE",944,"4","2011","9",51651,46873,0,0,,,,,,,,,0,0,0,0,0,,83,,0,0,0,,4778,,"3","3","3","2","1","1","1","1","1","1","1","5","NA","3","2","2","2","2","1","4","2","5","1","1","NA","787.02","619.78","NA","1","1",,"1",1,,,,,
"2011","SE",962,"1","2011","15",50807,44708,0,0,,,,,,,,,0,0,0,0,0,,2815,,0,0,0,,6099,,"3","3","NA","1","1","1","1","NA","1","1","1","4","2621.29","3","NA","2","2","2","2","3","2","3","2","NA","NA","1092.24","607.61","NA","1","1",,"1",1,,,,,
"2011","SE",966,"1","2011","9",51886,31833,0,0,,,,,,,,,0,0,0,0,0,,425,,0,0,0,,20053,,"3","3","NA","1","1","1","1","1","1","1","3","4","NA","3","2","2","2","2","2","1","2","5","2","1","NA","NA","353.03","NA","1","1",,"1",1,,,,,
"2011","SE",967,"3","2011","15",31982,25721,0,0,,,,,,,,,0,0,0,0,0,,3,,0,407,0,,5854,,"3","3","1","1","1","1","1","1","1","1","3","5","3669.8","3","NA","2","2","2","2","1","2","3","2","1","NA","524.68","765.94","NA","1","1",,"1",1,,,,,
"2011","SE",971,"4","2011","12",46686,34622,0,0,,,,,,,,,0,0,0,0,0,,195,,0,0,0,,12064,,"3","3","3","1","1","1","1","1","1","1","1","3","2097.03","2","NA","2","2","2","2","1","2","1","2","1","NA","848.25","422.76","NA","1","1",,"1",1,,,,,
"2011","SE",1011,"3","2011","37",27395,20199,0,0,,,,,,,,,0,0,0,3341,0,,0,,0,0,0,,7196,,"3","3","3","1","1","1","1","1","1","1","3","3","1677.62","3","NA","2","2","2","2","4","3","2","2","1","NA","583.29","543.86","NA","1","1",,"1",1,,,,,
"2011","SE",1038,"1","2011","46",92826,84171,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8655,,"3","3","NA","1","1","1","1","1","1","1","3","3","1467.92","3","3","2","2","2","2","1","3","4","2","1","NA","981.3","491.44","NA","1","1",,"1",1,,,,,
"2011","SE",1039,"3","2011","17",34954,29043,0,0,,,,,,,,,0,0,0,6227,0,,0,,0,0,0,,5911,,"3","3","3","1","1","1","1","1","1","1","2","NA","2621.29","2","NA","2","2","1","2","4","2","6","2","1","NA","1092.24","391.2","NA","1","1",,"1",1,,,,,
"2011","SE",1076,"3","2011","10",27184,24088,0,0,,,,,,,,,0,0,0,0,0,,7319,,0,41,0,,3054,,"3","3","NA","1","1","1","1","1","1","1","1","6","2097.03","3","NA","2","2","2","2","4","2","1","2","1","NA","848.25","874.46","NA","1","1",,"1",1,,,,,
"2011","SE",1082,"3","2011","13",13416,2577,0,0,,,,,,,,,0,0,0,0,0,,167,,0,0,0,,10839,,"3","3","NA","1","1","1","1","1","1","1","1","3","1258.22","2","3","2","2","2","1","1","3","4","2","1","NA","696","570.6","NA","1","1",,"1",1,,,,,
"2011","SE",1087,"3","2011","16",24145,16138,0,0,,,,,,,,,0,0,0,0,0,,0,,0,35,0,,7972,,"3","3","NA","1","1","1","1","1","1","1","1","4","2097.03","2","3","2","2","1","2","4","2","3","2","1","719.18","1092.24","589.48","NA","1","1",,"1",1,,,,,
"2011","SE",1102,"3","2011","18",12382,8571,0,0,,,,,,,,,0,0,0,0,0,,1033,,0,17,0,,3794,,"3","3","3","2","1","1","1","1","1","1","3","6","2097.03","2","3","2","1","2","1","4","1","4","2","1","NA","837.55","779.15","NA","1","1",,"1",1,,,,,
"2011","SE",1141,"3","2011","15",27281,21246,0,0,,,,,,,,,0,0,0,0,0,,2134,,0,1336,0,,4699,,"3","3","NA","1","1","2","1","1","1","1","1","4","2097.03","3","3","2","2","1","2","1","2","5","2","1","576.68","NA","527.3","NA","1","1",,"1",1,,,,,
"2011","SE",1166,"2","2011","15",27464,13648,0,0,,,,,,,,,0,0,0,0,0,,5379,,0,0,0,,13815,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1677.62","2","NA","2","2","2","2","3","3","2","2","1","NA","586.96","324.62","NA","1","1",,"1",1,,,,,
"2011","SE",1214,"2","2011","44",38055,34475,0,0,,,,,,,,,0,0,0,0,0,,268,,0,0,0,,3580,,"3","3","NA","1","1","1","1","1","1","1","1","5","1048.51","3","3","2","2","2","2","4","3","4","2","1","719.18","NA","735.22","NA","1","1",,"1",1,,,,,
"2011","SE",1221,"3","2011","7",7244,-8842,0,0,,,,,,,,,0,0,0,0,0,,35,,0,1763,0,,14323,,"3","3","NA","1","1","1","1","1","1","1","1","6","2097.03","2","NA","2","2","2","2","1","2","4","1","1","NA","1092.24","589.48","NA","1","1",,"1",1,,,,,
"2011","SE",1226,"3","2011","15",16449,12057,0,0,,,,,,,,,0,0,0,2606,0,,0,,0,87,0,,4305,,"3","3","NA","1","1","1","1","1","1","1","1","4","681.53","3","2","2","2","2","1","4","3","3","2","1","293.58","1092.24","640.75","NA","1","1",,"1",1,,,,,
"2011","SE",1257,"2","2011","35",41819,19383,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,22436,,"3","3","3","1","1","1","1","1","1","1","3","5","NA","3","3","2","2","2","2","2","2","5","2","1","NA","981.3","991.48","NA","1","1",,"1",1,,,,,
"2011","SE",1293,"3","2011","51",46666,43508,0,0,,,,,,,,,0,0,0,0,0,,189,,0,0,0,,3158,,"3","3","3","2","1","1","1","1","1","1","1","5","NA","2","3","2","2","1","2","1","3","5","2","1","482.32","NA","780.2","NA","1","1",,"1",1,,,,,
"2011","SE",1326,"1","2011","14",16138,5387,0,0,,,,,,,,,0,0,0,0,0,,1068,,0,0,0,,10751,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","3","1","2","1","2","2","1","3","5","2","1","NA","NA","478.33","NA","1","1",,"1",1,,,,,
"2011","SE",1338,"3","2011","63",16680,-19608,0,0,,,,,,,,,0,0,0,0,0,,3815,,0,0,0,,36289,,"3","3","NA","1","1","1","1","1","1","1","1","6","3669.8","1","NA","2","2","1","2","1","2","4","2","1","NA","1092.24","743.4","NA","1","1",,"1",1,,,,,
"2011","SE",1340,"3","2011","13",46604,31347,0,0,,,,,,,,,0,0,0,0,0,,36,,0,0,0,,15258,,"NA","3","NA","2","1","1","1","1","1","1","3","3","2097.03","1","3","2","2","2","2","4","2","4","2","1","459.77","635.61","556.87","NA","1","1",,"1",1,,,,,
"2011","SE",1341,"3","2011","16",29247,22272,0,0,,,,,,,,,0,0,0,4063,0,,0,,0,0,0,,6976,,"3","3","NA","2","1","2","1","1","1","1","1","4","NA","3","NA","2","2","2","2","4","3","3","2","1","NA","848.25","623.24","NA","1","1",,"1",1,,,,,
"2011","SE",1348,"2","2011","13",795,620,0,0,,,,,,,,,0,0,0,0,0,,795,,0,23,0,,153,,"3","3","NA","1","1","1","1","1","1","1","1","4","838.81","3","NA","2","2","2","1","1","2","5","2","1","NA","1092.24","1038.24","NA","1","1",,"1",1,,,,,
"2011","SE",1357,"1","2011","16",33537,29568,0,0,,,,,,,,,0,0,0,0,0,,738,,0,0,0,,3969,,"3","3","NA","1","1","1","1","1","1","1","1","4","943.66","3","NA","2","2","2","2","1","3","2","2","1","346.01","719.18","646.3","NA","1","1",,"1",1,,,,,
"2011","SE",1389,"3","2011","28",38387,22270,0,0,,,,,,,,,0,0,0,2199,0,,0,,0,0,0,,16117,,"3","3","NA","1","1","1","1","1","1","1","3","4","1572.77","3","NA","2","2","2","2","3","2","6","2","1","NA","805.78","724.63","NA","1","1",,"1",1,,,,,
"2011","SE",1395,"3","2011","17",15218,6791,0,0,,,,,,,,,0,0,0,133,0,,0,,0,0,0,,8427,,"3","3","3","2","1","1","1","1","1","1","1","4","1258.22","3","3","1","2","2","1","1","3","1","2","1","NA","696","552.88","NA","1","1",,"1",1,,,,,
"2011","SE",1400,"3","2011","11",40949,38621,0,0,,,,,,,,,0,0,0,0,0,,712,,0,0,762,,1566,,"3","3","NA","1","NA","NA","1","1","1","1","1","5","1572.77","2","NA","2","2","2","2","1","1","6","2","1","NA","978.47","808.51","NA","1","1",,"1",1,,,,,
"2011","SE",1403,"3","2011","48",21923,-50064,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,71988,,"3","3","3","1","1","1","1","1","1","1","2","4","2097.03","3","2","2","2","2","2","3","2","3","2","1","NA","848.25","659.52","NA","1","1",,"1",1,,,,,
"2011","SE",1468,"2","2011","44",35192,34846,0,0,,,,,,,,,0,0,0,0,0,,2,,0,49,0,,297,,"3","3","3","1","1","1","1","1","1","1","1","2","576.68","3","NA","2","2","2","1","1","2","3","NA","1","NA","848.25","678.07","NA","1","1",,"1",1,,,,,
"2011","SE",1469,"1","2011","15",38029,33784,0,0,,,,,,,,,0,0,0,0,0,,31,,0,184,0,,4061,,"3","3","3","1","1","1","1","1","1","1","1","5","2097.03","2","2","2","2","2","2","1","2","6","2","1","NA","981.3","1065.71","NA","1","1",,"1",1,,,,,
