"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","SE",141,"1","2013","10",29264,24095,0,0,,,,,,,,0,0,0,0,0,,0,,0,835,0,,4334,,"3","3","NA","1","1","2","1","1","1","1","1","6","1723.33","3","NA","2","2","2","2","4","1","4","2","1","NA","1322.14","862.81","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",150,"1","2013","22",23101,19881,0,0,,,,,,,,0,0,0,0,0,,5440,,0,0,0,,3220,,"3","2","NA","1","1","1","1","1","1","1","1","6","1148.88","3","2","2","1","2","2","4","2","4","2","1","NA","852.59","566.17","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",159,"3","2013","37",25767,13729,0,0,,,,,,,,0,0,0,0,0,,18,,0,4040,0,,7998,,"1","3","NA","1","1","1","1","1","1","1","1","4","3446.65","2","NA","2","2","2","2","1","2","4","2","1","NA","1322.14","1239.07","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",168,"1","2013","17",28020,25149,0,0,,,,,,,,0,0,0,0,0,,12246,,0,0,0,,2871,,"3","3","3","1","1","2","1","1","1","1","1","4","3446.65","3","NA","2","2","2","2","1","2","5","1","1","NA","971.96","736.43","574.44","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",201,"4","2013","NA",23441,14404,0,0,,,,,,,,0,0,0,0,0,,692,,0,0,0,,9038,,"3","3","NA","1","1","1","1","1","1","3","1","6","NA","3","3","2","1","2","2","1","1","3","2","1","NA","1196.79","669.11","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",207,"1","2013","15",46023,41827,0,0,,,,,,,,0,0,0,1618,0,,30,,0,0,0,,4196,,"3","3","NA","1","1","1","1","1","1","1","3","4","NA","2","3","2","2","2","2","1","2","3","2","1","NA","1022.97","588.8","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",208,"2","2013","31",66375,48304,0,0,,,,,,,,0,0,0,0,0,,725,,0,0,0,,18072,,"3","3","NA","1","1","1","1","3","1","1","3","4","2067.99","3","3","2","2","2","1","1","2","4","2","1","NA","1322.14","529.64","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",255,"1","2013","54",16972,9238,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7734,,"NA","3","NA","1","1","1","1","1","1","3","1","6","3446.65","3","3","2","2","2","2","1","1","4","1","1","838.69","1022.97","665.89","574.44","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",268,"4","2013","16",32399,27991,0,0,,,,,,,,0,0,0,0,0,,137,,0,0,0,,4409,,"3","3","NA","1","1","1","1","1","1","1","1","4","1148.88","2","3","2","2","1","2","3","2","3","2","1","379.13","NA","504.25","957.4","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",281,"2","2013","20",69015,58704,0,0,,,,,,,,0,0,0,4491,0,,0,,0,694,0,,9616,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","1","2","4","2","2","2","1","NA","961.96","1160.26","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",283,"2","2013","20",63298,54781,0,0,,,,,,,,0,0,0,0,0,,127,,0,0,0,,8517,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","1","2","2","1","1","5","2","1","NA","NA","1386.36","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",321,"2","2013","13",82735,78817,0,0,,,,,,,,0,0,0,0,0,,33,,0,0,0,,3918,,"3","3","NA","1","1","1","1","1","1","1","3","6","1723.33","3","3","2","2","2","2","4","3","3","2","1","344.67","961.96","554.68","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",345,"3","2013","20",28278,21537,0,0,,,,,,,,0,0,0,0,0,,2009,,0,0,0,,6741,,"3","3","3","1","1","1","1","1","1","1","1","6","3101.99","3","NA","2","2","2","2","1","3","5","2","1","NA","1322.14","1039.4","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",380,"2","2013","15",24833,20355,0,0,,,,,,,,0,0,0,0,0,,22,,0,798,0,,3679,,"3","3","3","1","1","1","1","1","1","1","1","4","1838.21","2","NA","2","2","1","2","1","1","3","1","1","NA","NA","788.36","1034","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",394,"1","2013","24",31317,23271,0,0,,,,,,,,0,0,0,0,0,,360,,0,0,0,,8046,,"NA","3","3","1","1","1","1","1","1","1","3","3","1723.33","3","3","NA","2","2","2","3","2","6","2","1","NA","NA","1148.54","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",396,"1","2013","17",33292,19584,0,0,,,,,,,,0,0,0,0,0,,93,,0,391,0,,13316,,"3","3","NA","1","1","1","1","1","1","1","1","4","2067.99","2","NA","2","1","2","2","1","3","3","2","1","NA","874.07","963.91","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",398,"2","2013","20",8352,6810,0,0,,,,,,,,0,0,0,0,0,,9,,0,275,0,,1267,,"3","3","NA","2","1","1","1","1","1","1","3","2","2872.21","3","NA","1","2","1","2","4","2","3","2","1","402.11","641.08","610.06","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",400,"2","2013","17",23375,20226,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3149,,"3","3","3","1","1","1","1","1","1","1","1","5","3446.65","3","NA","2","2","2","2","1","3","2","2","1","562.95","NA","1239.07","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",403,"1","2013","17",24518,20207,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,4310,,"3","3","3","1","1","1","1","1","1","1","1","6","NA","2","NA","2","2","1","2","1","3","6","2","1","NA","NA","575.71","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",435,"3","2013","29",41187,39271,0,0,,,,,,,,0,852,0,0,0,,1656,,0,215,0,,1700,,"NA","3","NA","1","1","1","1","1","1","1","3","4","1263.77","2","3","2","NA","2","2","2","1","4","2","1","NA","852.59","748.04","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",437,"3","2013","17",48940,38826,0,0,,,,,,,,0,0,0,0,0,,3238,,0,0,0,,10115,,"3","3","NA","1","1","1","1","1","1","1","1","6","1148.88","3","NA","2","2","2","2","1","3","4","2","1","NA","874.07","862.81","0","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",441,"1","2013","22",40411,26969,0,0,,,,,,,,0,0,0,0,0,,8854,,0,0,0,,13441,,"3","3","NA","1","1","1","1","1","1","1","1","6","9191.07","3","NA","2","2","2","2","1","2","6","2","1","NA","1322.14","807.32","95.74","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",494,"2","2013","17",32656,25191,0,0,,,,,,,,0,0,0,0,0,,20,,0,424,0,,7040,,"3","3","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","2","1","2","1","942.08","NA","678.53","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",528,"4","2013","25",29068,22256,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6812,,"3","3","3","1","1","1","1","1","1","1","1","6","3446.65","2","NA","2","2","2","2","1","2","5","2","1","NA","NA","498.16","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",542,"1","2013","20",26041,14788,0,0,,,,,,,,0,0,0,0,0,,321,,0,2282,0,,8971,,"3","3","3","1","1","1","1","1","1","1","2","6","1723.33","3","3","2","2","2","2","1","2","5","2","1","804.22","1201.39","1009.06","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",554,"1","2013","21",26583,13366,0,0,,,,,,,,0,0,0,4681,0,,116,,0,0,0,,13218,,"NA","3","NA","1","1","1","1","1","1","1","1","6","3216.87","3","NA","2","2","2","2","4","3","5","2","1","NA","NA","667.5","229.78","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",564,"3","2013","14",15227,11470,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3757,,"3","3","2","1","1","1","1","3","1","1","1","3","1723.33","NA","3","2","2","2","2","4","1","4","2","1","459.55","1322.14","492.76","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",617,"1","2013","17",111946,99660,0,0,,,,,,,,0,0,0,0,0,,0,,0,147,0,,12139,,"NA","3","NA","1","1","1","1","3","1","1","1","NA","NA","3","NA","2","2","2","2","1","1","6","2","1","574.44","1322.14","793.88","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",628,"3","2013","37",54324,43228,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,11096,,"3","3","3","1","1","1","1","1","1","1","1","4","1953.1","2","2","2","2","2","2","1","3","5","2","1","NA","NA","716.9","574.44","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",632,"2","2013","18",58229,51337,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6891,,"3","3","3","1","1","1","1","1","1","1","1","1","2757.32","3","2","2","1","2","1","4","1","3","2","1","NA","1322.14","529.64","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",651,"1","2013","18",39895,32499,0,0,,,,,,,,0,0,0,0,0,,3657,,0,0,0,,7396,,"3","3","3","1","1","1","1","1","1","1","3","6","2297.77","3","NA","2","2","1","1","1","3","6","1","1","1031.7","1031.7","1080.18","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",661,"1","2013","18",16481,11445,0,0,,,,,,,,0,0,0,0,0,,156,,0,148,0,,4888,,"3","3","3","1","1","1","1","1","1","1","1","2","2297.77","2","NA","1","1","2","1","1","2","6","2","1","NA","1201.39","736.43","459.55","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",669,"2","2013","24",33073,23748,0,0,,,,,,,,0,0,0,0,0,,39,,0,0,0,,9325,,"3","3","NA","1","1","1","1","1","1","1","1","6","3446.65","3","NA","2","2","2","2","1","1","6","1","1","NA","1322.14","781.47","0","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",684,"1","2013","13",30010,28137,0,0,,,,,,,,0,0,0,0,0,,50,,0,302,0,,1570,,"3","3","3","1","1","1","1","1","1","1","1","4","3446.65","3","NA","2","2","2","2","4","1","4","2","1","NA","1201.39","400.73","114.89","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",721,"2","2013","14",7255,-8420,0,0,,,,,,,,0,0,0,0,0,,1297,,0,0,0,,15675,,"3","3","3","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","1022.97","1119.36","191.48","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",729,"1","2013","21",72302,58740,0,0,,,,,,,,0,0,0,0,0,,3556,,0,0,0,,13562,,"NA","3","NA","1","1","1","1","1","1","1","1","4","3101.99","3","3","2","2","2","2","4","2","4","2","1","NA","716.1","958.28","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",730,"4","2013","18",41867,31258,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,10609,,"3","3","NA","1","1","1","1","1","1","1","1","6","459.55","3","2","2","2","2","2","1","3","3","2","1","689.33","716.1","841.9","229.78","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",735,"1","2013","16",955,-3105,0,0,,,,,,,,0,0,0,0,0,,955,,0,0,0,,4061,,"3","3","NA","1","1","1","1","1","3","1","1","6","1148.88","3","2","2","2","2","2","4","2","6","2","1","NA","NA","514.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",741,"4","2013","25",50922,15662,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,35260,,"NA","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","1","1","3","6","2","1","NA","1022.97","1121.54","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",745,"1","2013","21",41352,34262,0,0,,,,,,,,0,0,0,0,0,,182,,0,1120,0,,5970,,"3","3","3","1","1","1","1","1","1","1","1","4","3446.65","3","3","2","2","1","2","4","3","6","2","1","NA","1031.7","1239.07","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",787,"1","2013","11",25909,21046,0,0,,,,,,,,0,0,0,11954,0,,43,,0,0,0,,4863,,"3","3","NA","2","1","1","1","1","1","1","1","6","1723.33","3","3","2","2","2","2","1","2","5","1","1","NA","NA","832.02","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",811,"4","2013","18",102262,85708,0,0,,,,,,,,0,0,0,0,0,,58306,,0,3357,0,,13197,,"3","3","NA","1","1","1","1","1","1","1","1","NA","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","1022.97","1108.79","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",909,"3","2013","23",21342,18202,0,0,,,,,,,,0,0,0,0,0,,533,,0,158,0,,2982,,"3","1","3","1","1","1","1","3","1","1","1","6","2872.21","NA","NA","2","2","2","2","1","3","6","2","1","689.33","1201.39","755.85","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",929,"3","2013","34",6247,5590,0,0,,,,,,,,0,0,0,0,0,,0,,0,6,0,,651,,"3","3","3","1","1","1","1","1","1","1","1","5","2872.21","3","NA","2","2","2","1","4","3","6","2","1","NA","852.59","340.18","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",939,"3","2013","22",63490,62807,0,0,,,,,,,,0,0,0,0,0,,83,,0,0,0,,683,,"2","NA","2","2","1","2","1","1","3","1","1","6","NA","3","NA","2","2","2","1","4","2","4","1","1","NA","874.07","511.71","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",944,"1","2013","24",128425,78986,0,0,,,,,,,,0,0,0,152,0,,0,,0,4691,0,,44747,,"3","3","NA","1","1","1","1","1","1","1","1","6","1148.88","3","NA","2","2","2","2","1","2","6","2","1","NA","716.1","541.58","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",950,"3","2013","15",11,-880,0,0,,,,,,,,0,0,0,0,0,,11,,0,0,0,,891,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1148.88","3","NA","2","1","2","2","1","2","4","2","1","574.44","1022.97","908.77","0","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",961,"4","2013","34",52294,38944,0,0,,,,,,,,0,0,0,0,0,,82,,0,7052,0,,6297,,"3","3","3","1","1","1","1","1","1","1","1","5","2872.21","2","3","2","2","2","2","1","3","4","2","1","NA","1322.14","280.21","0","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",969,"3","2013","20",21078,8351,0,0,,,,,,,,0,0,0,0,0,,471,,0,0,0,,12727,,"3","3","NA","1","1","2","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","1322.14","987.7","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1014,"1","2013","14",34636,34624,0,0,,,,,,,,0,0,0,0,0,,8202,,0,0,0,,12,,"3","3","NA","2","1","1","1","1","1","1","3","4","1378.66","3","3","2","2","2","2","4","3","2","2","1","596.73","NA","635.1","145.53","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1035,"1","2013","18",20983,13846,0,0,,,,,,,,0,0,0,0,0,,1165,,0,0,0,,7137,,"3","3","NA","1","1","1","1","1","1","1","3","6","804.22","3","NA","2","2","2","2","3","2","2","2","1","769.75","1022.97","750.68","287.22","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1058,"2","2013","34",30421,22391,0,0,,,,,,,,0,0,0,0,0,,71,,0,0,0,,8031,,"3","3","3","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","2","3","6","2","1","NA","1196.79","1071.68","1148.88","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1061,"3","2013","34",23044,19073,0,0,,,,,,,,0,0,0,0,0,,25,,0,210,0,,3761,,"NA","3","NA","1","1","1","1","1","1","1","1","6","NA","1","NA","2","2","2","2","1","2","4","2","1","1022.97","1022.97","991.6","0","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1062,"3","2013","72",41460,33569,0,0,,,,,,,,0,0,0,0,0,,1105,,0,917,0,,6974,,"3","3","NA","1","1","1","1","1","1","1","3","6","NA","2","3","2","2","2","2","1","2","2","2","1","NA","577.08","610.06","114.89","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1066,"1","2013","50",23989,22341,0,0,,,,,,,,0,0,0,0,0,,2,,0,0,0,,1648,,"3","3","3","2","1","1","1","1","1","1","1","4","NA","2","NA","2","2","2","2","4","3","3","2","1","NA","NA","729.08","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1113,"1","2013","20",29019,26552,0,0,,,,,,,,0,0,0,0,0,,70,,0,0,0,,2467,,"3","3","NA","1","1","1","1","1","1","1","1","6","1723.33","3","2","2","2","2","2","1","2","2","2","1","NA","NA","790.32","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1140,"1","2013","25",8430,3793,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,4637,,"NA","3","3","1","1","1","1","3","3","1","1","4","1723.33","3","3","2","2","2","2","4","1","3","2","1","NA","1022.97","874.88","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1144,"2","2013","30",25793,17702,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8091,,"3","3","NA","1","1","1","1","1","1","1","1","6","1148.88","2","NA","2","2","2","2","4","3","3","2","1","NA","1022.97","360.63","0","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1183,"3","2013","49",250419,239711,0,0,,,,,,,,0,0,14197,16381,0,,0,,0,306,0,,10403,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","2","NA","2","2","2","2","2","3","4","2","1","1528.02","NA","770.9","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1190,"4","2013","35",16800,5653,0,0,,,,,,,,0,0,0,0,0,,8,,0,0,0,,11147,,"3","3","NA","1","1","1","1","1","1","1","1","2","1723.33","3","NA","2","2","2","2","4","2","3","2","1","344.67","NA","594.55","NA","3","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1195,"2","2013","16",932,-2026,0,0,,,,,,,,0,0,0,0,0,,34,,0,333,0,,2624,,"3","3","3","1","1","1","1","1","1","1","1","6","1838.21","2","NA","2","2","2","2","4","3","2","2","1","NA","1201.39","486.09","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",1213,"4","2013","29",16083,7306,0,0,,,,,,,,0,0,0,0,0,,286,,0,0,0,,8776,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","3","1","2","1","2","2","1","3","3","2","1","574.44","852.59","1086.5","229.78","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
