"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","MI010","MI020","MI025","MI026","MI030","MI040","MI045","MI046","MI050","MI051","MI052","MI053","MI054","MI055","MI056","MI057","MI058","MI060","MI065","MI066","MI075","MI076","MI085","MI086","MI090","MI095","MI100","MI110","MI111","MI112","MI113","MI114","MI120","MI121","MI122","MI123","MI124","MI125","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2008","SE",121,"4","2008","21",13171,5586,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7584,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","2162.14","3","NA","2","1","2","2","1","1","4","2","1","NA","668.21","360.75","1","NA","1","NA","1","2","NA","NA","1","1","NA","NA","2","2","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",124,"4","2008","33",11131,5330,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5801,"2","NA","2","NA","2","NA","1","1","1","3","1","1","1","1","4","3243.21","3","NA","2","2","2","2","1","2","4","2","1","NA","784.32","557.94","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",132,"4","2008","39",28266,18737,0,0,,,,,,,,0,0,0,0,0,,44,,0,0,0,,9530,"2","NA","2","NA","2","NA","1","1","1","1","1","3","1","3","6","1945.92","2","NA","2","2","2","2","4","1","2","2","1","486.48","727.56","275.78","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",140,"4","2008","20",8834,8542,0,0,,,,,,,,0,0,0,0,0,,4,,0,0,0,,292,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","3","2","2","2","2","2","3","1","1","2","1","NA","NA","193.51","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","1","NA","2","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",147,"4","2008","10",10183,7064,0,0,,,,,,,,0,0,0,2121,0,,0,,0,298,0,,2822,"2","NA","1","NA","2","NA","NA","1","1","1","1","1","1","1","4","1189.18","3","NA","2","2","2","1","1","1","3","2","1","454.05","NA","553.29","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","2","1","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",176,"3","2008","11",40175,35638,0,0,,,,,,,,0,0,0,0,2049,,35,,0,0,0,,4536,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","1621.6","3","NA","2","2","2","2","3","1","6","2","1","NA","NA","528.64","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",181,"4","2008","11",15843,12437,0,0,,,,,,,,0,0,0,3326,0,,52,,0,0,0,,3406,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","2","NA","3","NA","2","2","2","2","1","2","1","2","1","NA","NA","672.75","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","4","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",183,"4","2008","24",18758,-11582,0,0,,,,,,,,0,0,0,0,0,,593,,0,10175,0,,20166,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","2702.67","2","NA","2","2","2","2","1","1","2","1","1","NA","749.07","507.35","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",188,"4","2008","15",53006,42706,0,0,,,,,,,,0,0,0,0,0,,31,,0,0,0,,10300,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","5","3243.21","3","NA","2","2","2","2","1","1","2","2","1","NA","NA","426.59","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",224,"2","2008","32",85690,69204,0,0,,,,,,,,0,0,0,0,0,,0,,0,117,0,,16368,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","NA","2","NA","2","2","2","2","1","1","6","2","1","NA","668.21","1324.63","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","2","NA","NA","2","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",234,"3","2008","8",88795,80415,0,0,,,,,,,,0,0,0,0,0,,1099,,0,0,0,,8380,"2","NA","2","NA","2","NA","1","1","1","1","1","3","1","1","3","5405.35","3","NA","2","2","2","2","1","1","4","2","1","NA","784.32","647.02","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",246,"4","2008","35",7236,6759,0,0,,,,,,,,0,0,0,0,0,,15,,0,0,0,,478,"2","NA","1","NA","2","NA","1","1","1","1","1","1","1","3","5","NA","3","NA","2","1","2","2","3","1","3","2","1","NA","NA","224.11","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",247,"4","2008","27",33823,33495,0,0,,,,,,,,0,0,0,0,0,,4460,,0,0,0,,328,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","2","3","NA","3","NA","2","2","2","2","4","1","2","2","1","NA","NA","510.59","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","1","NA","2","NA","NA","NA","2","2","2","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",248,"4","2008","40",64214,48047,0,0,,,,,,,,0,0,0,0,0,,0,,0,529,0,,15638,"2","NA","2","NA","2","NA","1","2","1","1","1","1","1","1","4","864.86","1","3","2","2","2","2","1","2","5","2","1","NA","784.32","287.24","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","2","NA","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",281,"3","2008","25",23042,17227,0,0,,,,,,,,0,0,0,0,0,,0,,0,652,0,,5163,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","2486.46","3","NA","2","2","2","2","1","1","4","2","1","NA","1017.83","426.59","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",283,"3","2008","31",23374,18546,0,0,,,,,,,,0,0,0,0,0,,22,,0,0,0,,4828,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","1729.71","3","NA","2","2","2","2","1","1","3","2","1","NA","NA","513.83","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","1","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",301,"4","2008","73",19284,16489,0,0,,,,,,,,0,0,0,0,0,,40,,0,0,0,,2795,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","1621.6","2","NA","2","2","2","2","4","1","4","2","1","NA","668.21","391.67","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",332,"3","2008","30",10514,7077,0,0,,,,,,,,0,0,0,0,0,,193,,0,0,0,,3438,"2","NA","2","NA","2","NA","1","1","2","1","1","3","1","1","4","1297.28","3","NA","2","2","2","2","3","2","5","2","1","NA","784.32","481.94","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",344,"3","2008","33",28710,24584,0,0,,,,,,,,0,0,0,0,0,,1616,,0,0,0,,4126,"2","NA","2","NA","2","NA","1","1","1","1","3","1","1","1","4","1729.71","2","1","2","2","2","1","1","2","6","2","1","NA","1017.83","553.29","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",346,"2","2008","30",45629,40962,0,0,,,,,,,,0,0,0,0,0,,157,,0,0,0,,4667,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","2","4","1297.28","3","NA","2","2","2","1","1","2","5","2","1","543.67","NA","326.27","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","2","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",347,"4","2008","37",18333,8470,0,0,,,,,,,,0,0,0,0,0,,11,,0,0,0,,9863,"2","NA","2","NA","2","NA","1","1","1","1","1","3","1","1","5","NA","3","3","2","2","2","2","1","1","6","2","1","494.59","543.67","524.64","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",349,"4","2008","20",10251,1344,0,0,,,,,,,,0,0,0,0,0,,0,,0,329,0,,8578,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","324.32","2","NA","2","1","2","1","1","2","2","2","1","478.27","543.67","510.59","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",353,"2","2008","32",8598,685,0,0,,,,,,,,0,0,0,0,0,,627,,0,4051,0,,3862,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","2702.67","3","NA","2","2","2","2","1","1","4","2","1","NA","1017.83","322.48","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",382,"4","2008","27",35531,28733,0,0,,,,,,,,0,0,0,0,0,,0,,0,828,0,,5970,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","2","5","2702.67","2","2","2","2","2","2","1","1","6","2","1","NA","668.21","581.83","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",384,"4","2008","19",25566,25422,0,0,,,,,,,,0,0,0,0,0,,26,,0,0,0,,144,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","2","4","2162.14","2","3","2","2","2","2","4","2","6","1","1","NA","483.24","435.89","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","2","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",385,"4","2008","29",25502,13909,0,0,,,,,,,,0,0,0,0,0,,1156,,0,0,0,,11593,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","6486.42","2","NA","2","2","2","2","1","1","4","2","1","NA","NA","510.91","1","NA","1","NA","1","2","NA","NA","2","1","2","NA","2","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",400,"3","2008","40",35228,29007,0,0,,,,,,,,0,0,0,6960,0,,108,,0,23,0,,6198,"2","NA","2","NA","2","NA","1","1","1","1","3","1","1","1","4","1513.5","3","NA","2","2","2","2","2","2","4","2","1","NA","535.45","580.86","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",435,"4","2008","17",47856,37738,0,0,,,,,,,,0,0,0,0,0,,173,,0,0,0,,10118,"NA","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","3243.21","3","NA","2","2","2","2","1","1","6","2","1","NA","898.48","391.67","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",464,"4","2008","15",27468,26178,0,0,,,,,,,,0,0,0,0,0,,704,,0,0,0,,1290,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","NA","1","NA","2","2","2","2","1","1","4","2","1","1189.18","1017.83","553.29","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","2","NA","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",475,"3","2008","15",31290,22847,0,0,,,,,,,,0,0,0,0,0,,37,,0,0,0,,8443,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","1","2","4","1","4","2","1","NA","668.21","360.75","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",484,"4","2008","22",8324,8266,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,57,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","3","1","NA","2","3","2","2","1","2","1","1","3","2","1","NA","321.83","0","1","NA","1","NA","1","2","NA","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",495,"4","2008","13",18129,9366,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8763,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","2702.67","3","1","2","2","2","2","1","1","6","2","1","NA","898.48","553.29","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","2","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","8","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",496,"4","2008","11",16481,9657,0,0,,,,,,,,0,0,0,0,0,,2561,,0,162,0,,6661,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","2378.35","3","2","2","2","2","2","1","1","3","2","1","NA","NA","414.27","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",524,"4","2008","13",52121,45310,0,0,,,,,,,,0,0,0,0,0,,1598,,0,0,1323,,5488,"NA","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","1","1081.07","3","NA","2","2","2","2","2","1","6","2","1","NA","535.45","387.02","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",540,"4","2008","18",42613,30345,0,0,,,,,,,,0,0,0,0,0,,1243,,0,0,0,,12268,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","1","5","2","1","NA","645.4","507.35","1","NA","1","NA","NA","2","NA","NA","2","NA","NA","NA","1","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","7","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",542,"3","2008","30",45235,33707,0,0,,,,,,,,0,0,0,2509,0,,0,,0,0,0,,11528,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","NA","2","NA","2","2","2","2","1","1","6","2","1","NA","918.58","580.86","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",545,"4","2008","14",3706,3395,0,0,,,,,,,,0,0,0,2298,0,,223,,0,0,0,,310,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","1297.28","3","NA","2","2","2","2","4","2","2","2","1","NA","898.48","346.7","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","1","NA","NA","NA","2","NA","2","2","2","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",549,"4","2008","10",89792,70844,0,0,,,,,,,,0,0,0,2367,0,,1428,,0,980,0,,17968,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","6486.42","3","3","2","2","1","2","1","2","6","2","1","NA","784.32","360.75","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","1","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",554,"4","2008","24",43689,32016,0,0,,,,,,,,0,0,0,0,0,,540,,0,0,0,,11673,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","2","2","2","2","2","4","1","5","2","1","NA","727.56","360.75","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",570,"2","2008","10",54313,48105,0,0,,,,,,,,0,0,0,0,0,,615,,0,718,0,,5490,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","3243.21","3","NA","2","2","2","2","4","1","6","2","1","NA","668.21","769.07","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",581,"4","2008","25",9885,5653,0,0,,,,,,,,0,0,0,0,0,,41,,0,0,0,,4232,"2","NA","2","NA","2","NA","2","1","1","1","1","1","1","1","3","1513.5","2","NA","1","2","2","1","3","1","2","2","1","501.94","NA","611.89","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",587,"4","2008","15",23762,15279,0,0,,,,,,,,0,0,0,0,0,,40,,0,439,0,,8045,"2","NA","2","NA","2","NA","1","1","1","NA","1","1","1","1","6","NA","2","NA","2","2","2","2","2","2","5","2","1","356.75","543.67","797.07","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
