"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","SE",124,"4","2009","22",46167,33369,0,0,,,,,,,,0,0,0,0,0,,3917,,0,397,0,,12401,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","NA","2","1","2","6","2","1","NA","NA","622.56","1","NA","1","NA","1","2","NA","2","NA","4","NA","NA","3","1","1","NA","NA","NA","1","NA","NA","NA","1","3","1","1","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",127,"3","2009","11",67916,61872,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6043,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","1","6","2","1","NA","750.06","1496.17","1","NA","1","NA","1","2","NA","2","NA","4","NA","3","2","1","1","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",135,"1","2009","19",19846,16444,0,0,,,,,,,,0,0,0,0,0,,55,,0,0,0,,3402,"1","NA","2","NA","NA","NA","1","1","2","1","1","3","1","1","2","NA","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","864.05","1","NA","1","NA","1","NA","4","NA","NA","4","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",143,"4","2009","30",90679,70503,0,0,,,,,,,,0,0,0,0,0,,2491,,0,0,0,,20176,"NA","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","4","1","3","2","1","NA","874.76","715.64","1","NA","1","NA","1","2","NA","2","220","4","NA","4","3","NA","1","1","1","NA","NA","NA","NA","1","1","NA","1","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",151,"4","2009","16",28698,28181,0,0,,,,,,,,0,0,0,0,0,,615,,0,58,0,,460,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","4","1248.02","3","3","2","2","2","2","4","1","3","2","1","NA","NA","1408.4","1","NA","1","NA","1","2","NA","2","120","NA","3","4","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",181,"2","2009","21",60391,56201,0,0,,,,,,,,0,0,0,0,0,,3925,,0,1324,0,,2866,"2","NA","2","NA","NA","NA","2","1","1","1","1","1","1","1","3","NA","3","NA","2","2","2","1","1","1","3","2","1","NA","526.15","357.35","1","NA","1","NA","1","2","NA","2","65","4","NA","3","4","1","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",186,"4","2009","15",91133,86139,0,0,,,,,,,,0,0,0,0,0,,3423,,0,0,0,,4994,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","1","6","2","1","NA","874.76","926.97","1","NA","1","NA","1","2","NA","2","250","4","4","NA","2","3","3","NA","1","1","1","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",187,"3","2009","32",5471,-2262,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7733,"2","NA","1","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","2","3","2","1","2","2","1","1","6","2","1","NA","763.69","520.74","1","NA","1","NA","1","NA","NA","2","180","4","4","NA","1","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",229,"3","2009","20",10440,7179,0,0,,,,,,,,0,0,0,0,0,,400,,0,0,0,,3260,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","1","4","1040.02","3","3","2","2","1","2","2","2","3","2","1","NA","649.91","342.37","1","NA","1","NA","1","2","NA","2","NA","4","4","NA","2","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",240,"4","2009","32",30573,24244,0,0,,,,,,,,0,0,0,0,0,,102,,0,395,0,,5934,"2","NA","2","NA","NA","NA","1","2","1","1","1","1","1","1","6","2080.04","2","NA","2","2","1","1","1","1","5","2","1","NA","980.01","1335.91","1","NA","1","NA","1","2","NA","2","88","4","4","NA","3","1","1","1","NA","NA","1","NA","NA","NA","1","NA","1","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",252,"3","2009","18",136993,128362,0,0,,,,,,,,0,0,0,0,0,,1314,,0,217,0,,8413,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","NA","3120.06","3","NA","2","2","2","2","1","1","3","2","1","NA","NA","543.2","1","NA","1","NA","1","1","NA","2","125","NA","3","2","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",253,"4","2009","19",37246,36027,0,0,,,,,,,,0,0,0,0,0,,0,,0,285,0,,934,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","1","3120.06","3","3","2","2","2","2","1","1","6","1","1","NA","874.76","1520.41","1","NA","1","NA","1","2","NA","NA","150","3","4","NA","3","1","1","1","NA","NA","1","NA","1","NA","NA","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",254,"4","2009","11",111216,99091,0,0,,,,,,,,0,0,0,0,0,,381,,0,1601,0,,10525,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","1560.03","2","3","2","2","2","2","1","1","6","2","1","NA","763.69","737.37","1","NA","1","NA","1","2","NA","2","220","4","4","3","4","NA","1","1","NA","1","NA","1","NA","NA","NA","NA","3","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",288,"4","2009","14",4656,-15312,0,0,,,,,,,,0,0,0,702,0,,93,,0,19968,0,,0,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","1","2","2","1","6","2","1","874.76","763.69","416.42","1","NA","1","NA","1","2","NA","NA","190","NA","3","4","3","1","1","NA","NA","NA","1","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",290,"2","2009","23",35989,23501,0,0,,,,,,,,0,0,0,0,0,,596,,0,0,0,,12488,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","2","NA","1","2","2","2","4","1","5","2","1","NA","763.69","1169.5","1","NA","1","NA","1","2","NA","2","280","4","4","3","3","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",309,"3","2009","14",22856,19041,0,0,,,,,,,,0,0,0,0,0,,3,,0,0,0,,3815,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","1","6","2","1","707.21","980.01","914.91","1","NA","1","NA","1","NA","NA","NA","120","4","4","NA","NA","1","1","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",341,"2","2009","19",12379,2878,0,0,,,,,,,,0,0,0,0,0,,76,,0,0,0,,9501,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","6","1456.03","NA","2","2","2","2","2","1","2","3","2","1","1040.02","517.51","666.96","1","NA","1","NA","1","2","NA","2","NA","4","NA","4","3","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",353,"1","2009","46",35161,26964,0,0,,,,,,,,0,0,0,0,0,,26,,0,985,0,,7213,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","3","1040.02","NA","NA","1","2","2","2","1","2","6","2","1","NA","NA","1036.9","1","NA","1","NA","1","2","NA","2","160","4","NA","2","NA","1","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",355,"4","2009","26",23159,17938,0,0,,,,,,,,0,0,0,2560,0,,0,,0,0,0,,5221,"2","NA","1","NA","NA","NA","1","1","2","1","1","1","1","2","3","1040.02","1","3","2","1","2","2","1","1","3","2","1","NA","763.69","593.33","1","NA","1","NA","1","2","NA","2","70","NA","NA","3","1","3","1","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",357,"4","2009","25",944,829,0,0,,,,,,,,0,0,0,0,0,,74,,0,0,0,,115,"2","NA","2","NA","2","NA","1","1","1","1","3","3","1","3","3","1872.04","2","NA","2","1","2","2","1","2","3","2","1","852.82","NA","518.45","1","NA","1","NA","1","NA","NA","2","85","NA","4","4","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",358,"2","2009","20",23206,15032,0,0,,,,,,,,0,0,0,0,0,,390,,0,160,0,,8014,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","4","NA","3","NA","2","2","2","2","1","1","6","2","1","NA","719.28","737.37","1","NA","1","NA","1","2","NA","2","170","4","NA","3","1","NA","1","NA","NA","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",362,"4","2009","20",54323,45892,757,757,,,,,,,,757,0,0,0,0,,470,,0,593,0,,7838,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","2","2","2","2","2","2","2","1","3","2","1","NA","568.89","542.47","1","NA","1","NA","1","NA","NA","NA","NA","NA","4","2","3","1","1","1","1","1","NA","1","NA","NA","NA","1","NA","1","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",391,"3","2009","25",37832,27901,0,0,,,,,,,,0,0,0,0,0,,340,,0,272,0,,9658,"2","NA","2","NA","NA","NA","2","1","1","1","1","1","1","1","4","NA","NA","3","2","1","2","2","1","2","6","2","1","NA","874.76","403.53","1","NA","1","NA","1","2","NA","2","170","NA","4","NA","3","NA","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",393,"3","2009","22",54518,48592,0,0,,,,,,,,0,0,0,0,0,,166,,0,5926,0,,0,"2","NA","2","NA","NA","NA","2","1","1","1","1","1","1","1","4","1560.03","2","2","2","2","2","2","1","1","6","2","1","NA","750.06","565.46","1","NA","1","NA","1","2","NA","NA","155","NA","NA","3","NA","NA","1","1","NA","1","NA","1","NA","1","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",395,"4","2009","35",38645,33492,0,0,,,,,,,,0,0,0,0,0,,4122,,0,5100,0,,52,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","780.01","3","NA","2","1","2","2","1","1","6","2","1","NA","980.01","800.82","1","NA","1","NA","1","2","NA","2","NA","4","4","1","NA","1","1","1","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",411,"3","2009","62",444,-10491,0,0,,,,,,,,0,0,0,0,0,,444,,0,526,0,,10409,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","2080.04","2","NA","2","2","2","2","1","1","4","2","1","NA","889.74","926.97","1","NA","1","NA","1","2","NA","1","125","NA","NA","NA","2","NA","1","1","1","NA","1","NA","1","NA","1","NA","1","NA","1","NA","2","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",446,"2","2009","19",17119,10351,0,0,,,,,,,,0,0,0,0,0,,825,,0,657,0,,6111,"2","NA","2","NA","2","NA","1","1","NA","1","2","3","1","1","4","3640.07","1","NA","2","1","1","2","4","2","4","2","1","540.81","750.06","481.01","1","NA","1","NA","1","2","NA","2","NA","NA","4","4","2","NA","NA","1","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",476,"3","2009","32",37342,33113,0,0,,,,,,,,0,0,0,4024,0,,0,,0,0,0,,4230,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","5","2600.05","3","NA","2","2","2","2","4","1","3","2","1","NA","889.74","838.57","1","NA","1","NA","1","NA","NA","2","NA","NA","NA","3","NA","1","1","1","1","1","NA","NA","1","NA","1","3","1","1","3","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",487,"3","2009","20",44557,42296,0,0,,,,,,,,0,0,0,1527,0,,1686,,0,0,0,,2261,"2","NA","2","NA","2","NA","1","2","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","3","6","2","1","NA","980.01","1249.48","1","NA","1","NA","1","2","NA","2","NA","NA","4","NA","NA","1","1","1","NA","NA","1","NA","1","1","1","NA","1","1","1","1","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",497,"1","2009","16",5645,2508,0,0,,,,,,,,0,0,0,0,0,,592,,0,399,0,,2737,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","2","2080.04","3","3","2","2","1","2","1","2","4","2","1","530.93","649.91","344.04","1","NA","1","NA","1","2","NA","NA","64","4","4","3","4","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",507,"4","2009","20",78030,74992,0,0,,,,,,,,0,0,0,0,0,,5350,,0,291,0,,2748,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","1","4","1","6","2","1","NA","750.06","548.09","1","NA","1","NA","1","2","NA","2","125","4","1","3","2","1","3","NA","NA","NA","1","1","1","1","NA","NA","1","NA","1","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",508,"4","2009","20",5884,4873,0,0,,,,,,,,0,0,0,0,0,,0,,0,54,0,,958,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","6","3640.07","3","NA","2","2","2","2","1","1","2","2","1","750.06","NA","981.26","1","NA","1","NA","1","NA","NA","2","180","4","3","NA","NA","1","NA","1","NA","NA","1","1","NA","2","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",538,"4","2009","20",54898,44009,0,0,,,,,,,,0,0,0,0,0,,1129,,0,0,0,,10889,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","1040.02","NA","2","2","2","2","2","1","1","2","2","1","603","763.69","531.87","1","NA","1","NA","1","2","NA","NA","136","4","NA","4","3","NA","1","NA","NA","NA","1","NA","NA","1","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",554,"4","2009","85",29343,18019,0,0,,,,,,,,0,0,0,0,0,,0,,0,81,0,,11243,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","624.01","2","NA","2","2","2","2","1","1","4","2","1","487.25","649.91","316.69","1","NA","1","NA","1","2","NA","2","NA","NA","NA","3","3","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",556,"3","2009","39",41361,29971,0,0,,,,,,,,0,0,0,0,0,,1592,,0,1043,0,,10347,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","3120.06","2","2","2","2","1","2","2","1","6","2","1","NA","649.91","369.21","1","NA","1","NA","1","NA","NA","2","100","4","3","NA","2","1","1","NA","1","NA","NA","NA","1","1","NA","NA","1","1","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",563,"4","2009","28",78437,52771,0,0,,,,,,,,0,0,0,0,0,,85,,0,0,0,,25665,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","3","4","1768.03","3","3","2","2","2","2","1","1","4","2","1","NA","763.69","841.9","1","NA","1","NA","1","NA","NA","2","115","4","NA","3","2","1","1","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",568,"1","2009","14",60005,42998,0,0,,,,,,,,0,0,0,0,0,,3548,,0,0,0,,17007,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","5","1040.02","3","3","2","2","2","2","1","1","4","2","1","NA","NA","768.26","1","NA","1","NA","1","2","NA","2","220","1","4","4","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",585,"3","2009","30",1542,-5886,0,0,,,,,,,,0,0,0,0,0,,8,,0,1159,0,,6269,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","2","NA","3","2","2","2","2","2","4","1","4","2","1","659.37","763.69","1054.16","1","NA","1","NA","1","2","NA","1","185","1","NA","4","1","1","1","NA","NA","1","1","NA","1","NA","1","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",595,"4","2009","15",18842,18599,0,0,,,,,,,,0,0,0,0,0,,49,,0,25,0,,218,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","3","3","1040.02","3","3","2","2","2","2","3","1","3","2","1","NA","517.51","737.37","1","NA","1","NA","1","2","NA","1","42","2","NA","4","3","1","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",602,"4","2009","15",16705,8179,0,0,,,,,,,,0,0,0,0,0,,630,,0,0,0,,8526,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","2","NA","2","2","1","2","1","1","3","2","1","NA","763.69","350.38","1","NA","1","NA","1","2","NA","2","120","NA","4","1","2","1","1","NA","NA","NA","NA","1","NA","NA","NA","1","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",613,"2","2009","31",8155,376,0,0,,,,,,,,0,0,0,0,0,,12,,0,0,0,,7779,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","3120.06","2","NA","2","2","2","2","1","1","4","2","1","NA","874.76","616.94","1","NA","1","NA","1","2","NA","2","100","NA","4","4","3","1","1","1","1","1","NA","1","NA","NA","1","NA","1","1","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",646,"3","2009","50",15288,7341,0,0,,,,,,,,0,0,0,0,0,,2080,,0,728,0,,7219,"2","NA","2","NA","2","NA","1","1","NA","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","1","4","2","1","NA","469.15","1374.59","1","NA","1","NA","1","2","NA","NA","112","3","4","NA","3","NA","1","NA","1","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",654,"4","2009","16",48544,35458,0,0,,,,,,,,0,0,0,0,0,,130,,0,0,0,,13086,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","2","NA","3","3","2","2","2","2","1","1","2","2","1","NA","874.76","369.21","1","NA","1","NA","1","1","NA","2","NA","3","4","4","3","NA","1","NA","NA","NA","1","1","NA","NA","1","3","NA","1","3","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",656,"4","2009","20",20069,15007,0,0,,,,,,,,0,0,0,0,0,,130,,0,0,0,,5062,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","1","3","1144.02","2","NA","2","2","2","2","4","1","4","2","1","800.82","874.76","376.9","1","NA","1","NA","1","NA","NA","NA","68","NA","4","NA","4","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",658,"2","2009","32",20903,10286,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10617,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","3640.07","3","2","2","2","2","1","1","1","4","2","1","NA","874.76","1496.17","1","NA","1","NA","1","2","NA","2","280","4","2","3","3","1","1","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",659,"1","2009","16",24201,18814,0,0,,,,,,,,0,0,0,0,0,,5,,0,0,0,,5387,"2","NA","2","NA","NA","NA","2","1","1","1","1","3","1","3","5","NA","3","3","2","2","2","2","2","1","5","2","1","NA","750.06","531.87","1","NA","1","NA","1","2","NA","1","50","NA","4","4","3","1","1","NA","NA","NA","NA","NA","NA","NA","1","2","NA","2","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",666,"3","2009","19",18629,12505,0,0,,,,,,,,0,0,0,0,0,,2162,,0,0,0,,6124,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","3","1","2","2","2","2","1","1","6","2","1","676.01","874.76","934.15","1","NA","1","NA","1","2","NA","2","NA","4","4","4","NA","NA","1","1","1","NA","NA","NA","1","1","NA","1","NA","3","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
