"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RX030","rl010","rl010_f","rl020","rl020_f","rl030","rl030_f","rl040","rl040_f","rl050","rl050_f","rl060","rl060_f","rl070","rl070_f","RX020","RX010"
"2004","SE",18271,787.521440823328,"3",1946,"1","1","1","3","13","1",1827,,,,,,,,,,,,,,,57,57
"2004","SE",18391,787.521440823328,"4",1982,"2","1","1","2","13","3",1839,,,,,,,,,,,,,,,21,21
"2004","SE",18551,787.521440823328,"2",1973,"2","1","4","3","NA","1",1855,,,,,,,,,,,,,,,30,30
"2004","SE",19021,787.521440823328,"3",1935,"1","1","1","2","NA","1",1902,,,,,,,,,,,,,,,68,68
"2004","SE",19051,787.521440823328,"2",1956,"2","1","4","2","13","NA",1905,,,,,,,,,,,,,,,47,48
"2004","SE",19611,787.521440823328,"2",1982,"2","1","4","2","NA","1",1961,,,,,,,,,,,,,,,21,22
"2004","SE",19791,787.521440823328,"2",1980,"2","1","4","2","13","1",1979,,,,,,,,,,,,,,,23,24
"2004","SE",19881,787.521440823328,"1",1954,"2","1","2","4","13","1",1988,,,,,,,,,,,,,,,49,49
"2004","SE",20081,787.521440823328,"1",1945,"1","1","4","2","13","1",2008,,,,,,,,,,,,,,,58,58
"2004","SE",20911,787.521440823328,"2",1973,"2","1","3","2","13","1",2091,,,,,,,,,,,,,,,30,30
"2004","SE",21021,787.521440823328,"3",1974,"1","1","1","3","NA","NA",2102,,,,,,,,,,,,,,,29,30
"2004","SE",21321,787.521440823328,"4",1953,"2","1","4","4","13","1",2132,,,,,,,,,,,,,,,50,50
"2004","SE",21391,787.521440823328,"2",1966,"1","1","1","3","NA","1",2139,,,,,,,,,,,,,,,37,38
"2004","SE",21611,787.521440823328,"1",1960,"2","1","1","2","13","5",2161,,,,,,,,,,,,,,,43,43
"2004","SE",21631,787.521440823328,"2",1959,"1","1","3","2","NA","3",2163,,,,,,,,,,,,,,,44,44
"2004","SE",21731,787.521440823328,"4",1930,"1","1","1","2","13","1",2173,,,,,,,,,,,,,,,73,74
"2004","SE",22141,787.521440823328,"3",1923,"2","1","4","2","13","1",2214,,,,,,,,,,,,,,,80,80
"2004","SE",22211,787.521440823328,"4",1923,"2","1","3","3","13","1",2221,,,,,,,,,,,,,,,80,80
"2004","SE",22331,787.521440823328,"1",1926,"2","1","4","3","13","1",2233,,,,,,,,,,,,,,,77,77
"2004","SE",22501,787.521440823328,"2",1939,"2","1","1","2","13","3",2250,,,,,,,,,,,,,,,64,64
"2004","SE",22601,787.521440823328,"3",1951,"2","1","1","2","13","5",2260,,,,,,,,,,,,,,,52,52
"2004","SE",23191,787.521440823328,"4",1937,"2","1","4","4","13","1",2319,,,,,,,,,,,,,,,66,67
"2004","SE",23201,787.521440823328,"3",1923,"1","1","3","2","NA","5",2320,,,,,,,,,,,,,,,80,80
"2004","SE",23291,787.521440823328,"2",1979,"1","1","3","3","13","1",2329,,,,,,,,,,,,,,,24,24
"2004","SE",23421,787.521440823328,"2",1923,"2","1","1","2","NA","3",2342,,,,,,,,,,,,,,,80,80
"2004","SE",23641,787.521440823328,"1",1964,"2","1","NA","3","13","1",2364,,,,,,,,,,,,,,,39,40
"2004","SE",24031,787.521440823328,"4",1928,"1","1","1","2","13","1",2403,,,,,,,,,,,,,,,75,75
"2004","SE",24201,787.521440823328,"1",1937,"2","1","3","4","13","3",2420,,,,,,,,,,,,,,,66,67
"2004","SE",24431,787.521440823328,"4",1945,"1","1","1","3","13","1",2443,,,,,,,,,,,,,,,58,58
"2004","SE",24611,787.521440823328,"3",1952,"1","1","4","2","NA","1",2461,,,,,,,,,,,,,,,51,51
"2004","SE",24741,787.521440823328,"3",1923,"2","1","1","2","13","1",2474,,,,,,,,,,,,,,,80,80
"2004","SE",24791,787.521440823328,"4",1974,"2","1","1","3","13","1",2479,,,,,,,,,,,,,,,29,30
"2004","SE",24901,787.521440823328,"3",1959,"1","1","2","4","NA","NA",2490,,,,,,,,,,,,,,,44,45
"2004","SE",24951,787.521440823328,"1",1933,"2","1","3","2","NA","1",2495,,,,,,,,,,,,,,,70,70
"2004","SE",25241,787.521440823328,"2",1970,"2","1","1","2","13","3",2524,,,,,,,,,,,,,,,33,34
"2004","SE",25271,787.521440823328,"1",1925,"2","1","1","4","NA","3",2527,,,,,,,,,,,,,,,78,78
"2004","SE",25311,787.521440823328,"4",1982,"1","1","4","3","13","1",2531,,,,,,,,,,,,,,,21,21
"2004","SE",25381,787.521440823328,"3",1983,"1","1","4","2","13","1",2538,,,,,,,,,,,,,,,20,20
"2004","SE",25781,787.521440823328,"3",1971,"1","1","4","2","NA","1",2578,,,,,,,,,,,,,,,32,33
"2004","SE",25861,787.521440823328,"4",1931,"2","1","4","4","NA","NA",2586,,,,,,,,,,,,,,,72,73
"2004","SE",25991,787.521440823328,"2",1981,"2","1","1","3","13","1",2599,,,,,,,,,,,,,,,22,22
"2004","SE",26121,787.521440823328,"4",1953,"1","1","3","2","13","1",2612,,,,,,,,,,,,,,,50,50
"2004","SE",26241,787.521440823328,"1",1974,"2","1","1","3","13","1",2624,,,,,,,,,,,,,,,29,30
"2004","SE",26251,787.521440823328,"3",1928,"1","1","1","4","NA","3",2625,,,,,,,,,,,,,,,75,76
"2004","SE",26481,787.521440823328,"4",1975,"1","1","4","2","13","5",2648,,,,,,,,,,,,,,,28,28
"2004","SE",26561,787.521440823328,"2",1980,"1","1","1","3","13","1",2656,,,,,,,,,,,,,,,23,24
"2004","SE",26771,787.521440823328,"4",1977,"2","1","1","3","13","1",2677,,,,,,,,,,,,,,,26,27
"2004","SE",26821,787.521440823328,"1",1983,"1","1","1","3","13","NA",2682,,,,,,,,,,,,,,,20,20
"2004","SE",27071,787.521440823328,"1",1956,"2","1","3","3","13","NA",2707,,,,,,,,,,,,,,,47,48
"2004","SE",27251,787.521440823328,"4",1982,"2","1","1","2","NA","1",2725,,,,,,,,,,,,,,,21,22
"2004","SE",27501,787.521440823328,"3",1973,"1","1","1","3","13","1",2750,,,,,,,,,,,,,,,30,31
"2004","SE",27551,787.521440823328,"2",1968,"1","1","3","3","13","1",2755,,,,,,,,,,,,,,,35,36
"2004","SE",28001,787.521440823328,"4",1923,"2","1","4","4","NA","1",2800,,,,,,,,,,,,,,,80,80
"2004","SE",28651,787.521440823328,"4",1923,"2","1","3","2","13","1",2865,,,,,,,,,,,,,,,80,80
"2004","SE",28861,787.521440823328,"4",1972,"1","1","1","2","13","1",2886,,,,,,,,,,,,,,,31,31
"2004","SE",29081,787.521440823328,"3",1983,"2","1","1","2","13","1",2908,,,,,,,,,,,,,,,20,21
"2004","SE",29141,787.521440823328,"1",1959,"1","1","1","2","13","5",2914,,,,,,,,,,,,,,,44,45
"2004","SE",29251,787.521440823328,"3",1923,"2","1","1","3","13","1",2925,,,,,,,,,,,,,,,80,80
"2004","SE",29381,787.521440823328,"4",1946,"1","1","4","2","NA","1",2938,,,,,,,,,,,,,,,57,58
"2004","SE",29621,787.521440823328,"2",1928,"1","1","1","3","13","NA",2962,,,,,,,,,,,,,,,75,76
"2004","SE",29841,787.521440823328,"1",1923,"2","1","3","3","13","1",2984,,,,,,,,,,,,,,,80,80
"2004","SE",29961,787.521440823328,"3",1948,"1","1","1","2","13","1",2996,,,,,,,,,,,,,,,55,56
"2004","SE",29981,787.521440823328,"2",1949,"2","1","4","2","NA","1",2998,,,,,,,,,,,,,,,54,55
"2004","SE",30351,787.521440823328,"4",1952,"1","1","1","2","13","3",3035,,,,,,,,,,,,,,,51,52
"2004","SE",30661,787.521440823328,"3",1951,"2","1","4","2","13","1",3066,,,,,,,,,,,,,,,52,53
"2004","SE",30761,787.521440823328,"1",1923,"2","1","1","4","NA","1",3076,,,,,,,,,,,,,,,80,80
"2004","SE",30911,787.521440823328,"1",1934,"2","1","4","2","NA","1",3091,,,,,,,,,,,,,,,69,70
"2004","SE",31111,787.521440823328,"3",1944,"2","1","3","2","NA","1",3111,,,,,,,,,,,,,,,59,60
"2004","SE",31151,787.521440823328,"2",1968,"2","1","1","2","NA","1",3115,,,,,,,,,,,,,,,35,35
"2004","SE",31231,787.521440823328,"1",1961,"1","1","1","3","13","1",3123,,,,,,,,,,,,,,,42,43
"2004","SE",31291,787.521440823328,"4",1923,"2","1","1","2","13","1",3129,,,,,,,,,,,,,,,80,80
"2004","SE",31451,787.521440823328,"1",1955,"2","1","1","2","13","1",3145,,,,,,,,,,,,,,,48,49
"2004","SE",31501,787.521440823328,"4",1931,"1","1","1","2","13","3",3150,,,,,,,,,,,,,,,72,73
"2004","SE",31611,787.521440823328,"1",1970,"2","1","4","3","13","NA",3161,,,,,,,,,,,,,,,33,33
"2004","SE",31621,787.521440823328,"1",1928,"2","1","1","2","13","1",3162,,,,,,,,,,,,,,,75,76
"2004","SE",31721,787.521440823328,"4",1924,"1","1","2","2","13","NA",3172,,,,,,,,,,,,,,,79,79
"2004","SE",31731,787.521440823328,"4",1945,"1","1","3","4","13","1",3173,,,,,,,,,,,,,,,58,59
"2004","SE",32001,787.521440823328,"2",1942,"2","1","2","4","NA","1",3200,,,,,,,,,,,,,,,61,61
"2004","SE",32081,787.521440823328,"1",1966,"1","1","1","3","13","5",3208,,,,,,,,,,,,,,,37,37
"2004","SE",32181,787.521440823328,"2",1966,"1","1","4","4","13","NA",3218,,,,,,,,,,,,,,,37,38
"2004","SE",32291,787.521440823328,"4",1923,"2","1","3","2","13","5",3229,,,,,,,,,,,,,,,80,80
"2004","SE",32401,787.521440823328,"1",1931,"2","1","1","2","13","1",3240,,,,,,,,,,,,,,,72,72
"2004","SE",32721,787.521440823328,"1",1938,"1","1","1","2","13","1",3272,,,,,,,,,,,,,,,65,66
"2004","SE",32851,787.521440823328,"1",1951,"1","1","4","2","13","1",3285,,,,,,,,,,,,,,,52,53
"2004","SE",32911,787.521440823328,"2",1934,"1","1","1","2","13","3",3291,,,,,,,,,,,,,,,69,69
"2004","SE",33131,787.521440823328,"2",1981,"2","1","4","2","NA","1",3313,,,,,,,,,,,,,,,22,23
"2004","SE",33191,787.521440823328,"2",1931,"2","1","1","3","NA","1",3319,,,,,,,,,,,,,,,72,73
"2004","SE",33511,787.521440823328,"1",1956,"1","1","1","3","13","1",3351,,,,,,,,,,,,,,,47,48
"2004","SE",33541,787.521440823328,"4",1923,"1","1","4","2","13","5",3354,,,,,,,,,,,,,,,80,80
"2004","SE",33551,787.521440823328,"4",1944,"2","1","1","2","13","1",3355,,,,,,,,,,,,,,,59,59
"2004","SE",33691,787.521440823328,"4",1978,"2","1","1","4","13","1",3369,,,,,,,,,,,,,,,25,26
"2004","SE",33821,787.521440823328,"3",1983,"1","1","1","2","NA","1",3382,,,,,,,,,,,,,,,20,20
"2004","SE",33901,787.521440823328,"4",1968,"1","1","1","3","13","3",3390,,,,,,,,,,,,,,,35,36
"2004","SE",33911,787.521440823328,"3",1981,"2","1","3","2","13","3",3391,,,,,,,,,,,,,,,22,22
"2004","SE",33991,787.521440823328,"4",1923,"2","1","4","3","NA","3",3399,,,,,,,,,,,,,,,80,80
"2004","SE",34121,787.521440823328,"4",1923,"2","1","4","3","NA","1",3412,,,,,,,,,,,,,,,80,80
"2004","SE",34191,787.521440823328,"2",1953,"1","1","1","2","NA","3",3419,,,,,,,,,,,,,,,50,50
"2004","SE",34351,787.521440823328,"1",1923,"2","1","4","2","13","1",3435,,,,,,,,,,,,,,,80,80
"2004","SE",34741,787.521440823328,"1",1925,"1","1","3","2","13","1",3474,,,,,,,,,,,,,,,78,78
"2004","SE",34881,787.521440823328,"2",1968,"1","1","4","4","NA","NA",3488,,,,,,,,,,,,,,,35,35
"2004","SE",35151,787.521440823328,"2",1963,"1","1","1","2","13","3",3515,,,,,,,,,,,,,,,40,41
"2004","SE",35221,787.521440823328,"4",1975,"1","1","4","3","13","1",3522,,,,,,,,,,,,,,,28,29
"2004","SE",35351,787.521440823328,"3",1940,"2","1","1","2","NA","1",3535,,,,,,,,,,,,,,,63,63
"2004","SE",35491,787.521440823328,"1",1977,"2","1","3","4","13","NA",3549,,,,,,,,,,,,,,,26,26
"2004","SE",35581,787.521440823328,"2",1924,"1","1","4","3","13","1",3558,,,,,,,,,,,,,,,79,80
"2004","SE",35681,787.521440823328,"3",1940,"1","1","3","2","NA","1",3568,,,,,,,,,,,,,,,63,63
"2004","SE",35711,787.521440823328,"2",1979,"1","1","1","2","13","1",3571,,,,,,,,,,,,,,,24,25
"2004","SE",35881,787.521440823328,"2",1946,"2","1","1","4","13","1",3588,,,,,,,,,,,,,,,57,57
"2004","SE",36001,787.521440823328,"2",1924,"2","1","4","2","13","1",3600,,,,,,,,,,,,,,,79,80
"2004","SE",36241,787.521440823328,"2",1923,"2","1","3","2","13","3",3624,,,,,,,,,,,,,,,80,80
"2004","SE",36261,787.521440823328,"3",1923,"2","1","1","2","13","NA",3626,,,,,,,,,,,,,,,80,80
"2004","SE",36741,787.521440823328,"4",1967,"2","1","1","2","13","3",3674,,,,,,,,,,,,,,,36,37
"2004","SE",36921,787.521440823328,"1",1980,"1","1","1","4","NA","1",3692,,,,,,,,,,,,,,,23,23
"2004","SE",37001,787.521440823328,"1",1932,"2","1","4","2","NA","1",3700,,,,,,,,,,,,,,,71,72
"2004","SE",37081,787.521440823328,"4",1923,"2","1","1","3","NA","NA",3708,,,,,,,,,,,,,,,80,80
"2004","SE",37201,787.521440823328,"1",1923,"2","1","1","2","NA","5",3720,,,,,,,,,,,,,,,80,80
"2004","SE",37221,787.521440823328,"1",1923,"2","1","1","2","NA","NA",3722,,,,,,,,,,,,,,,80,80
"2004","SE",37241,787.521440823328,"4",1968,"1","1","1","2","13","1",3724,,,,,,,,,,,,,,,35,35
"2004","SE",37481,787.521440823328,"3",1943,"2","1","1","2","13","1",3748,,,,,,,,,,,,,,,60,61
"2004","SE",37761,787.521440823328,"4",1979,"2","1","4","3","13","1",3776,,,,,,,,,,,,,,,24,24
"2004","SE",37911,787.521440823328,"1",1978,"1","1","1","2","13","1",3791,,,,,,,,,,,,,,,25,26
"2004","SE",37921,787.521440823328,"3",1925,"2","1","4","3","13","1",3792,,,,,,,,,,,,,,,78,79
"2004","SE",37951,787.521440823328,"3",1981,"1","1","4","2","13","3",3795,,,,,,,,,,,,,,,22,23
"2004","SE",38301,787.521440823328,"1",1971,"1","1","1","2","NA","NA",3830,,,,,,,,,,,,,,,32,32
"2004","SE",38451,787.521440823328,"4",1975,"1","1","1","2","NA","1",3845,,,,,,,,,,,,,,,28,29
"2004","SE",38551,787.521440823328,"4",1940,"2","1","3","3","13","3",3855,,,,,,,,,,,,,,,63,64
"2004","SE",38761,787.521440823328,"3",1948,"2","1","4","3","13","1",3876,,,,,,,,,,,,,,,55,56
"2004","SE",39111,787.521440823328,"1",1958,"1","1","4","2","13","1",3911,,,,,,,,,,,,,,,45,45
"2004","SE",39141,787.521440823328,"2",1960,"1","1","4","4","13","NA",3914,,,,,,,,,,,,,,,43,43
"2004","SE",39261,787.521440823328,"3",1981,"1","1","4","4","13","1",3926,,,,,,,,,,,,,,,22,22
"2004","SE",39331,787.521440823328,"2",1923,"2","1","1","2","13","1",3933,,,,,,,,,,,,,,,80,80
"2004","SE",39361,787.521440823328,"4",1977,"2","1","3","3","13","1",3936,,,,,,,,,,,,,,,26,27
"2004","SE",39451,787.521440823328,"3",1923,"2","1","1","3","13","1",3945,,,,,,,,,,,,,,,80,80
"2004","SE",39541,787.521440823328,"4",1968,"1","1","4","3","13","1",3954,,,,,,,,,,,,,,,35,35
"2004","SE",39871,787.521440823328,"2",1941,"2","1","3","2","13","1",3987,,,,,,,,,,,,,,,62,63
