"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PM005","PM010","PM020","PM030","PM035","PM040","PM050","PM060","PM070","PM080","PM090","PM100","PX030","PX040","PX020","PX050","PX010"
"2005","SE",1321,746.788990825688,"NA","3","2005","60","2",1983,"2","1","1","SE","2","NA","3","3","NA","1","2","NA","NA",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","NA",0,241,0,595,0,0,0,0,0,440,0,0,0,0,75,1,"629.935","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",132,"2",21,"1","9.1243"
"2005","SE",1401,746.788990825688,"1271.92","1","2005","70","4",1927,"2","4","2","SE","2","NA","2","5","NA","NA","2","NA","NA","5","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",0,1315,0,1287,0,287,0,0,0,0,12480,0,0,0,0,1,"1215","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","4",140,"2",77,"3","9.1243"
"2005","SE",1491,746.788990825688,"1181.08","3","2005","75","2",1977,"2","1","3","EU","2","NA","5","2","NA","NA","2","NA","NA","4","NA","0","0","NA","g","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","1","NA",0,406,0,6856,126,0,0,0,0,3695,0,0,0,0,0,1,"NA","NA","1955","1948","NA","NA","NA","1","NA","1","NA","NA",149,"3",27,"3","9.1243"
"2005","SE",1881,746.788990825688,"1181.08","2","2005","60","1",1950,"2","4","1","SE","2","NA","2","9","NA","NA","2","1","3","3","NA","0","12","NA",,"NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","1","NA","NA","2","NA",4416,0,0,0,0,897,0,0,0,0,0,0,0,0,0,1,"394.8667","1","NA","1954","NA","NA","NA","NA","NA","NA","NA","NA",188,"2",54,"1","9.1243"
"2005","SE",1931,746.788990825688,"NA","4","2005","60","1",1977,"1","1","3","SE","2","NA","3","1","NA","1","NA","NA","3","7","50","0","0","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","2","NA",0,0,0,20289,0,0,0,0,0,0,0,0,2283,0,0,1,"1219.14","NA","1927","1932","NA","NA","NA","1","NA","NA","NA","NA",193,"2",27,"1","9.1243"
"2005","SE",1941,746.788990825688,"1169.49","4","2005","60","2",1924,"2","2","3","SE","2","NA","1","5","NA","NA","2","NA","3","7","NA","0","0","NA",,"NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","1","NA",0,0,0,0,0,0,0,0,0,0,15748,0,0,0,0,1,"NA","NA","NA","1925","NA","2","NA","2","NA","NA","NA","5",194,"3",80,"1","9.1243"
"2005","SE",2381,746.788990825688,"NA","2","2005","60","1",1948,"1","1","2","SE","2","NA","5","1","NA","NA","1","NA","3","2","45","12","0","NA","l-n","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","NA","NA",0,241,0,28987,0,0,0,0,0,0,0,0,0,0,0,1,"585.795","1","1952","1953","NA","2","NA","NA","32","NA","NA","5",238,"2",56,"1","9.1243"
"2005","SE",2491,746.788990825688,"NA","3","2005","50","2",1976,"1","1","1","SE","2","NA","5","1","NA","NA","2","NA","3","3","NA","0","12","NA","k","NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",0,0,0,21953,1144,0,0,0,0,0,0,0,534,0,0,1,"585.795","NA","1939","1925","NA","3","1","NA","61","NA","NA","NA",249,"3",28,"1","9.1243"
"2005","SE",2631,746.788990825688,"NA","2","2005","60","2",1958,"2","2","1","SE","1","NA","4","1","NA","NA","NA","NA","3","2","40","12","0","NA",,"NA","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","2","NA",0,0,0,28774,295,0,0,0,0,0,0,0,0,0,0,1,"562.495","NA","1925","1925","NA","3","NA","1","NA","NA","NA","NA",263,"3",46,"3","9.1243"
"2005","SE",2641,746.788990825688,"NA","1","2005","60","3",1972,"2","1","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","NA","0","0","NA","k","NA","13","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","NA","NA","NA","NA",0,284,0,10653,0,0,-38785,0,0,0,0,0,0,0,0,1,"585.795","NA","NA","1951","NA","NA","NA","1","NA","NA","NA","NA",264,"2",32,"1","9.1243"
"2005","SE",2991,746.788990825688,"1259.87","3","2005","60","2",1929,"2","5","2","SE","2","NA","5","5","NA","NA","2","NA","NA","3","NA","0","3","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","1","NA",0,0,0,181,0,0,0,0,4298,0,11861,0,0,0,0,1,"585.795","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",299,"2",75,"3","9.1243"
"2005","SE",3211,746.788990825688,"NA","3","2005","60","3",1945,"1","1","3","SE","2","NA","3","1","NA","NA","2","NA","3","3","NA","12","0","NA","f","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","NA","NA",0,0,0,64866,0,0,0,0,0,0,0,0,0,0,0,1,"638.125","1","NA","NA","NA","1","NA","2","1","6","NA","4",321,"3",59,"3","9.1243"
"2005","SE",3541,746.788990825688,"1219.14","1","2005","50","2",1924,"2","4","1","SE","2","NA","3","5","NA","NA","1","NA","NA","4","NA","0","0","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","1","2","NA","NA","2","NA",0,0,0,0,0,0,0,0,0,0,13605,0,0,0,0,1,"NA","1","NA","NA","NA","2","1","NA","61","1","NA","NA",354,"2",80,"2","9.1243"
"2005","SE",3671,746.788990825688,"1215","3","2005","NA","3",1931,"2","2","3","SE","2","NA","5","5","NA","1","NA","NA","3",,"50","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","NA","NA","2","NA",674,658,0,0,0,0,0,0,0,0,23633,0,0,0,0,1,"562.495","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","3",367,"2",73,"1","9.1243"
"2005","SE",3691,746.788990825688,"NA","3","2005","70","4",1932,"2","5","2","SE","2","NA","4","5","NA","NA","NA","NA","NA","2","40","12","0","NA",,"NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA","NA","8",0,2071,0,0,0,263,0,0,785,0,29363,0,0,0,0,1,"600.025","1","1950","1925","NA","NA","0","2","NA","1","NA","NA",369,"2",72,"4","9.1243"
"2005","SE",3721,746.788990825688,"1259.87","3","2005","85","2",1924,"1","4","2","SE","2","NA","3","5","NA","NA","2","NA","3","3","NA","0","0","NA",,"4","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","2","NA","2","NA",57,0,0,0,0,0,0,0,0,0,23549,0,0,0,0,1,"562.495","NA","NA","NA","NA","3","1","NA","NA","2","NA","NA",372,"3",80,"3","9.1243"
"2005","SE",3751,746.788990825688,"1219.14","2","2005","60","2",1984,"2","1","1","SE","2","NA","3","4","NA","2","2","NA","NA",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","2","NA",0,0,0,2983,0,0,0,0,0,0,0,0,0,0,0,1,"NA","NA","1939","NA","NA","NA","NA","NA","NA","NA","NA","NA",375,"3",20,"1","9.1243"
"2005","SE",4061,746.788990825688,"1319.57","4","2005","60","4",1968,"2","2","1","SE","NA","3","5","1","NA","NA","NA","NA","NA","2","NA","0","1","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","2","NA",0,0,0,475,1,0,0,0,0,0,0,0,312,0,0,1,"635.96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",406,"3",36,"2","9.1243"
"2005","SE",4081,746.788990825688,"1184.6","2","2005","50","1",1924,"2","4","3","SE","2","NA",,"5","NA","1","NA","NA","3",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","1","NA",0,0,0,0,0,239,0,0,0,0,13760,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA",408,"3",80,"1","9.1243"
"2005","SE",4101,746.788990825688,"NA","4","2005","90","3",1924,"2","4","1","SE","2","NA","3","5","NA","NA","NA","NA","3","4","32","12","0","NA",,"NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,22752,0,0,0,0,1,"NA","NA","NA","1927","NA","1","NA","NA","NA","NA","NA","NA",410,"2",80,"1","9.1243"
"2005","SE",4621,746.788990825688,"1219.14","1","2005","90","2",1924,"2","4","1","SE","1","NA","2","5","NA","NA","2","1","NA",,"NA","0","NA","NA",,"NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",0,0,0,0,0,1315,0,0,0,0,4075,0,0,0,0,1,"607.5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",462,"3",80,"3","9.1243"
"2005","SE",4931,746.788990825688,"1181.08","3","2005","75","2",1936,"2","5","1","SE","2","NA","5","2","NA","NA","NA","NA","3","3","50","12","0","NA","k","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","NA","NA",0,0,0,38159,0,0,0,0,0,0,0,0,0,0,0,1,"NA","NA","1938","1936","NA","1","NA","NA","NA","NA","NA","NA",493,"2",68,"3","9.1243"
"2005","SE",5051,746.788990825688,"NA","4","2005","75","4",1947,"1","2","2","EU","2","NA","6","1","NA","NA","2","NA","3","2","NA","12","0","NA","l-n","NA","11","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","2","NA",15,0,0,24746,0,0,0,0,0,0,0,0,0,0,0,1,"635.96","1","1925","1953","NA","NA","1","NA","51","1","NA","5",505,"2",57,"4","9.1243"
"2005","SE",5161,746.788990825688,"1276.25","4","2005","60","3",1935,"2","2","1","SE","2","5","3","5","NA","1","NA","NA","3","4","NA","0","0","NA",,"NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","3","NA","NA","2","NA",0,0,0,109,0,132,0,0,0,0,15577,0,0,0,0,1,"635.96","2","1948","NA","NA","NA","NA","NA","NA","2","NA","NA",516,"2",69,"3","9.1243"
"2005","SE",5261,746.788990825688,"NA","2","2005","60","1",1970,"1","2","1","SE","2","NA","4","1","NA","NA","NA","NA","3","2","37","12","0","NA",,"NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","NA",0,0,0,0,0,0,34236,0,0,0,0,0,129,0,0,1,"NA","1","1925","NA","NA","2","5","1","NA","1","NA","NA",526,"2",34,"4","9.1243"
"2005","SE",5271,746.788990825688,"NA","3","2005","90","1",1980,"1","1","3","SE","2","NA","3","1","NA","1","2","NA","NA","7","NA","0","0","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","2","1","NA","NA","NA",3407,499,0,17627,0,0,0,0,0,0,0,0,0,0,0,1,"NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","4",527,"2",24,"1","9.1243"
"2005","SE",5761,746.788990825688,"NA","2","2005","70","1",1973,"2","2","3","Other","2","NA","3","1","NA","NA","2","NA","NA","8","NA","0","0","NA","k","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA",0,0,0,90,0,0,5918,0,0,0,0,0,10,0,0,1,"NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",576,"2",31,"4","9.1243"
"2005","SE",5851,746.788990825688,"NA","1","2005","90","3",1948,"1","1","2","SE","2","4","3","1","NA","NA","2","NA","3","3","33","12","0","NA","g","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","7","2","NA",0,241,0,20797,0,789,0,0,0,0,0,0,0,0,0,1,"590.54","NA","1926","NA","NA","1","NA","NA","NA","6","NA","1",585,"2",56,"1","9.1243"
"2005","SE",5891,746.788990825688,"NA","4","2005","75","2",1956,"2","2","1","SE","2","NA","2","1","NA","NA","1","NA","3","9","NA","0","12","NA","g","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","2","1","NA","NA","NA",0,0,0,20377,10,2154,0,0,0,0,0,0,0,0,0,1,"393.6933","NA","NA","NA","NA","2","NA","NA","NA","2","NA","NA",589,"3",48,"4","9.1243"
"2005","SE",6071,746.788990825688,"NA","4","2005","NA","1",1924,"2","2","1","SE","2","NA","1","5","NA","NA","NA","NA","3","4","NA","0","0","NA",,"NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",0,438,0,0,0,296,0,0,0,0,15687,0,0,0,0,1,"1215","NA","NA","1944","NA","NA","NA","NA","NA","NA","NA","NA",607,"2",80,"1","9.1243"
"2005","SE",6171,746.788990825688,"1171.59","4","2005","60","3",1948,"1","4","3","SE","2","NA","5","1","NA","NA","2","NA","3","2","50","0","0","NA","l-n","NA","6","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",0,0,0,83908,0,658,0,0,0,0,0,0,0,0,0,1,"NA","3","NA","1925","NA","1","NA","NA","NA","NA","NA","3",617,"3",56,"3","9.1243"
"2005","SE",6241,746.788990825688,"NA","4","2005","90","1",1938,"2","2","1","SE","1","NA","5","5","NA","NA","2","NA","NA","2","30","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","2","NA","NA","NA",0,263,0,0,0,0,0,0,0,0,4363,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA",624,"2",66,"1","9.1243"
"2005","SE",6361,746.788990825688,"1219.14","3","2005","90","3",1976,"2","1","2","EU","2","NA","5","1","NA","NA","NA","NA","NA","5","39","0","0","NA","l-n","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","NA","NA",0,263,0,23326,640,0,0,0,0,0,0,0,0,0,0,1,"629.935","1","NA","1948","NA","NA","NA","1","NA","1","NA","NA",636,"2",28,"3","9.1243"
"2005","SE",6711,746.788990825688,"NA","3","2005","80","4",1942,"2","2","2","SE","2","NA","5","1","NA","NA","NA","NA","3","3","40","0","0","NA","l-n","NA","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","1","NA","2","NA",399,0,0,72641,0,0,0,0,0,0,0,0,0,0,0,1,"585.795","1","NA","NA","NA","5","NA","1","NA","NA","NA","NA",671,"3",62,"1","9.1243"
"2005","SE",6801,746.788990825688,"NA","1","2005","90","1",1924,"2","5","1","SE","2","NA","5","5","NA","NA","NA","NA","3","3","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","1","NA","2","NA",0,0,0,0,0,0,583,0,0,0,14512,0,0,0,0,1,"1202.81","1","NA","1941","NA","NA","NA","NA","NA","1","NA","NA",680,"2",80,"3","9.1243"
"2005","SE",6811,746.788990825688,"1169.49","1","2005","60","1",1937,"1","2","1","SE","2","NA","3","5","NA","NA","NA","NA","3","0 - 1","50","12","0","NA",,"NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","NA","NA","2","NA",0,634,0,0,0,0,0,0,0,0,95284,0,0,0,0,1,"374.9967","NA","NA","NA","NA","2","1","NA","NA","1","NA","NA",681,"3",67,"3","9.1243"
"2005","SE",6841,746.788990825688,"1271.92","4","2005","55","3",1973,"2","2","2","SE","2","NA","5","1","NA","NA","NA","NA","3","2","45","12","0","NA",,"NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA",0,285,0,28015,4113,0,0,0,0,0,0,0,174,0,0,1,"609.57","1","NA","1925","NA","NA","NA","1","24","1","NA","NA",684,"3",31,"4","9.1243"
"2005","SE",6911,746.788990825688,"1276.25","4","2005","55","1",1924,"1","4","3","SE","2","NA","1","5","NA","NA","NA","NA","3","4","39","12","0","NA",,"NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","2","NA","2","NA",0,0,0,0,0,0,0,0,4450,0,26347,0,0,0,0,1,"1259.87","NA","1953","1947","NA","3","5","NA","NA","NA","NA","NA",691,"3",80,"1","9.1243"
"2005","SE",6941,746.788990825688,"1171.59","1","2005","60","4",1924,"2","5","1","SE","2","NA","5","5","NA","NA","NA","NA","NA","2","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","NA","6","2","NA",0,263,0,0,0,0,0,0,0,0,14006,0,0,0,0,1,"NA","NA","NA","1947","NA","NA","NA","2","71","NA","NA","NA",694,"2",80,"1","9.1243"
"2005","SE",7341,746.788990825688,"1169.49","4","2005","NA","1",1939,"2","4","2","SE","2","NA","5","5","NA","NA","2","NA","NA","2","20","0","0","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","2","NA",0,395,0,0,0,0,0,0,0,0,23123,0,0,0,0,1,"635.96","NA","NA","NA","NA","NA","NA","1","71","NA","NA","NA",734,"3",65,"1","9.1243"
"2005","SE",7551,746.788990825688,"1171.59","2","2005","60","3",1955,"2","1","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","40","12","0","NA","l-n","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","2","6","2","NA",0,395,0,0,0,16807,41879,0,0,0,0,0,0,0,0,1,"607.5","NA","NA","NA","NA","NA","2","1","NA","NA","NA","4",755,"3",49,"3","9.1243"
"2005","SE",8471,746.788990825688,"NA","1","2005","50","1",1929,"2","5","3","SE","2","NA",,"5","NA","1","1","NA","NA",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","2","2","NA",0,0,0,0,0,263,0,0,0,0,22198,0,0,0,0,1,"592.3","1","1931","1926","NA","NA","NA","NA","83","NA","NA","NA",847,"2",75,"3","9.1243"
"2005","SE",8661,746.788990825688,"1276.25","2","2005","70","2",1970,"2","2","1","Other","2","NA","5","4","NA","1","NA","NA","3","3","18","12","0","NA",,"NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","2","NA","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25438,1,"584.745","1","NA","1949","NA","2","2","1","NA","6","NA","5",866,"2",34,"2","9.1243"
"2005","SE",8731,746.788990825688,"NA","4","2005","60","3",1978,"1","1","1","SE","2","NA","5","1","NA","NA","NA","NA","1","2","NA","9","0","NA","l-n","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","2","NA","NA","NA",4,1892,0,14588,0,0,0,0,0,0,0,0,0,0,0,1,"562.495","NA","1925","NA","NA","NA","3","NA","NA","1","24","NA",873,"3",26,"1","9.1243"
