"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH080","HH081","HH090","HH091","HA010","HA020","HA030","HA040","HA050","HA060","HA070","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010","R_HA030","R_HA040","R_HA050","R_HA060","R_HA070"
"2010","SE",130,"4","2010","12",89,-7313,0,0,,,,,,,,,0,0,0,89,0,,0,,0,0,0,,7402,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","1035.87","2","3","2","2","2","2","4","NA","2","1","2","1","NA","439.11","427.15","NA","1","NA","1","NA","NA","1","970501","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",138,"3","2010","9",9301,-303,0,0,,,,,,,,,0,0,0,0,0,,44,,0,0,0,,9604,,"2","NA","2","NA","2","NA","2","1","2","1","1","1","1","1","4","1412.55","2","2","2","1","2","2","1","NA","3","3","1","1","436.95","600.33","860.43","NA","1","NA","1","NA","NA","1","540901","991001","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",147,"2","2010","64",70390,60188,0,0,,,,,,,,,0,436,0,565,0,,2,,0,830,0,,9372,,"2","NA","2","NA","NA","NA","2","1","1","1","1","1","1","1","4","NA","2","3","2","2","2","2","1","NA","2","4","1","1","NA","NA","282.6","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",154,"4","2010","6",33173,2011,0,0,,,,,,,,,0,0,0,0,0,,394,,0,3420,0,,27741,,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","2","2354.25","3","3","2","2","2","2","4","NA","2","3","2","1","NA","NA","970.04","NA","1","NA","1","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",185,"2","2010","9",32580,22959,0,0,,,,,,,,,0,0,0,0,0,,151,,0,0,0,,9622,,"2","NA","2","NA","2","NA","1","1","1","1","1","3","1","3","4","NA","1","NA","2","2","2","2","1","NA","2","2","2","1","470.85","474.8","392.41","NA","1","NA","1","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",190,"4","2010","6",38957,16311,0,0,,,,,,,,,0,0,0,0,0,,1830,,0,0,0,,22646,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","1883.4","3","NA","2","2","2","2","1","NA","2","4","2","1","NA","730.1","552.12","NA","1","NA","1","NA","1","1","761801","613702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",192,"3","2010","26",24282,18807,0,0,,,,,,,,,0,0,0,0,0,,156,,0,0,0,,5475,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","2","3","2","2","2","2","1","NA","3","4","2","1","NA","637.34","425.65","NA","1","NA","1","NA","NA","1","638001","353402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",235,"4","2010","44",7444,4477,0,0,,,,,,,,,0,0,0,0,0,,18,,0,74,0,,2893,,"2","NA","2","NA","NA","NA","1","1","NA","1","1","2","1","3","4","941.7","2","NA","2","2","2","2","2","NA","3","2","2","1","363.68","NA","461.34","NA","1","NA","1","NA","NA","NA","NA","115302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",246,"3","2010","39",15875,-16626,0,0,,,,,,,,,0,0,0,0,0,,4195,,0,0,0,,32501,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","2825.1","3","NA","2","2","1","2","1","NA","2","4","2","1","NA","730.1","304.26","NA","1","NA","1","NA","NA","1","575302","763702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",259,"4","2010","10",27638,18183,0,0,,,,,,,,,0,0,0,0,0,,0,,0,366,0,,9090,,"2","NA","1","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","3","2","2","2","2","1","NA","2","2","2","1","NA","730.1","586.68","NA","1","NA","1","NA","2","NA","761801","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",260,"4","2010","13",0,-275,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,275,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","2071.74","2","NA","2","2","1","1","3","NA","3","6","2","1","NA","637.34","636.12","NA","1","NA","1","NA","2","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",295,"1","2010","27",25699,23861,0,0,,,,,,,,,0,0,0,0,0,,616,,0,0,0,,1838,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","1883.4","2","NA","2","2","2","2","4","NA","2","2","2","1","NA","626.04","282.51","NA","1","NA","1","NA","1","NA","NA","490402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",317,"3","2010","11",53734,49094,0,0,,,,,,,,,0,0,0,0,0,,32766,,0,509,0,,4131,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","2354.25","3","NA","2","2","2","2","4","NA","2","4","2","1","NA","626.04","304.26","NA","1","NA","1","NA","NA","1","341301","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",349,"2","2010","14",30680,21878,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1104,0,,7698,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","3","2","2","2","2","2","1","NA","2","6","2","1","NA","817.87","486.39","NA","1","NA","1","NA","3","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",362,"3","2010","15",56525,46304,0,0,,,,,,,,,0,0,9240,0,0,,0,,0,0,0,,10221,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","2","2","2","2","2","1","1","NA","2","6","2","1","NA","NA","798.09","NA","1","NA","1","NA","1","1","409001","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",364,"4","2010","48",16524,13522,0,0,,,,,,,,,0,0,0,0,0,,313,,0,191,0,,2811,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","1","2","2","4","NA","2","6","2","1","NA","431.86","952.91","NA","1","NA","1","NA","1","NA","921101","556401","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",365,"1","2010","36",7937,7825,0,0,,,,,,,,,0,0,0,0,0,,4330,,0,10,0,,103,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","1883.4","2","1","2","2","2","2","1","NA","2","2","2","1","NA","NA","282.98","NA","1","NA","1","NA","2","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",367,"3","2010","13",34654,24459,0,0,,,,,,,,,0,0,0,0,0,,619,,0,0,0,,10195,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","5","1883.4","3","3","2","2","2","2","4","NA","3","5","2","1","NA","637.34","655.52","NA","1","NA","1","NA","NA","1","995201","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",371,"3","2010","36",1033,1017,0,0,,,,,,,,,0,0,0,0,0,,150,,0,0,0,,15,,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","3","5","NA","3","3","2","2","1","2","1","NA","2","3","2","1","NA","NA","450.41","NA","1","NA","1","NA","3","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",400,"3","2010","14",34681,27999,0,0,,,,,,,,,0,0,0,0,0,,0,,0,363,0,,6320,,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","NA","3766.8","3","NA","2","2","2","2","1","NA","2","2","2","2","NA","637.34","443.26","NA","1","NA","1","NA","NA","1","556402","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",403,"2","2010","14",7450,7082,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,368,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","6","1412.55","3","3","2","1","2","2","1","NA","3","4","2","1","NA","542.42","546.28","NA","1","NA","1","NA","NA","NA","295601","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",405,"4","2010","19",48487,48068,0,0,,,,,,,,,0,0,0,0,0,,154,,0,43,0,,375,,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","5","NA","2","2","2","2","2","2","1","NA","3","3","2","1","452.02","NA","372.16","NA","1","NA","1","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",421,"4","2010","13",6950,5881,0,0,,,,,,,,,0,0,0,0,0,,52,,0,1069,0,,0,,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","5","1695.06","2","3","2","2","2","2","3","NA","3","5","2","1","508.52","391.46","304.26","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",456,"3","2010","16",7635,2775,0,0,,,,,,,,,0,0,0,0,0,,41,,0,396,0,,4464,,"2","NA","2","NA","2","NA","1","2","2","1","1","1","1","1","3","NA","3","3","2","2","2","1","1","NA","2","6","2","1","NA","730.1","590.26","NA","1","NA","1","NA","2","NA","353401","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",487,"3","2010","15",12062,512,0,0,,,,,,,,,0,0,0,0,0,,92,,0,1343,0,,10208,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","7062.75","3","NA","2","2","2","2","1","NA","2","5","2","1","NA","626.04","1020.9","NA","1","NA","1","NA","1","1","NA","682002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",499,"3","2010","30",12971,-924,0,0,,,,,,,,,0,0,0,0,0,,1548,,0,934,0,,12960,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","2354.25","3","3","2","2","2","NA","4","NA","2","3","2","1","NA","517.93","922.96","NA","1","NA","1","NA","2","1","NA","462401","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",509,"3","2010","56",27628,7932,0,0,,,,,,,,,0,0,0,0,0,,81,,0,839,0,,18858,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","2","NA","2","6","2","1","NA","742.53","394.29","NA","1","NA","1","NA","1","1","550102","62502","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",519,"4","2010","13",45484,38883,0,0,,,,,,,,,0,0,0,0,0,,1,,0,724,0,,5877,,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","1","6","470.85","3","NA","2","2","2","1","1","NA","2","1","2","1","659.19","730.1","1020.9","NA","1","NA","1","NA","1","1","447701","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",520,"2","2010","NA",16423,10777,0,0,,,,,,,,,0,0,0,0,0,,224,,0,134,0,,5512,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","2","NA","NA","NA","2","2","2","2","4","NA","2","3","1","1","NA","542.42","391.56","NA","1","NA","1","NA","1","NA","706302","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",552,"3","2010","30",78790,70123,0,0,,,,,,,,,0,0,0,0,0,,120,,0,0,0,,8667,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","3295.95","3","NA","2","2","2","2","2","NA","2","6","2","1","282.51","431.86","586.68","NA","1","NA","1","NA","2","1","360401","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",568,"3","2010","41",37149,32920,0,0,,,,,,,,,0,0,0,0,0,,93,,0,0,0,,4230,,"2","NA","2","NA","2","NA","1","1","1","1","1","2","1","1","4","1883.4","3","NA","2","2","2","2","1","NA","2","4","2","1","NA","517.93","409.83","NA","1","NA","1","NA","1","NA","33001","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",569,"4","2010","14",42628,36537,0,0,,,,,,,,,0,0,0,0,0,,0,,0,361,0,,5731,,"2","NA","1","NA","2","NA","1","1","2","1","1","1","1","1","5","2542.59","3","NA","2","2","2","2","4","NA","2","5","2","1","NA","NA","452.67","NA","1","NA","1","NA","1","1","67502","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",577,"4","2010","13",17660,12809,0,0,,,,,,,,,0,0,0,0,0,,0,,0,157,0,,4695,,"2","NA","1","NA","NA","NA","1","1","1","1","1","1","1","1","4","2542.59","3","NA","2","2","2","1","1","NA","2","3","2","1","NA","637.34","753.45","NA","1","NA","1","NA","1","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",582,"4","2010","22",46102,34839,0,0,,,,,,,,,0,0,0,0,0,,13029,,0,0,0,,11263,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","4","565.02","3","3","2","2","2","2","1","NA","2","3","2","1","NA","742.53","503.72","NA","1","NA","1","NA","NA","1","NA","507802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",599,"2","2010","17",25042,20475,0,0,,,,,,,,,0,0,10808,0,0,,0,,0,0,0,,4567,,"2","NA","2","NA","2","NA","2","1","1","1","1","1","1","1","5","NA","2","NA","2","2","2","2","1","NA","2","4","2","1","NA","637.34","425.65","NA","1","NA","1","NA","2","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",609,"3","2010","16",42671,32021,0,0,,,,,,,,,0,0,0,0,0,,1345,,0,0,0,,10650,,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","2","4","1506.72","2","NA","2","2","2","2","4","NA","2","4","2","1","NA","637.34","582.54","NA","1","NA","1","NA","1","1","404801","404802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",616,"2","2010","24",15503,12408,0,0,,,,,,,,,0,0,0,0,0,,37,,0,263,0,,2832,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","2","NA","753.36","3","2","2","2","2","2","4","NA","3","6","2","1","730.1","NA","375.93","NA","1","NA","1","NA","1","NA","NA","583002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",628,"1","2010","26",10161,9902,0,0,,,,,,,,,0,0,0,0,0,,2,,0,0,0,,260,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","1883.4","3","3","2","2","2","2","1","NA","2","2","2","1","NA","474.8","480.36","NA","1","NA","1","NA","NA","1","NA","969502","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",662,"1","2010","50",15836,12718,0,0,,,,,,,,,0,0,0,0,0,,1242,,0,254,0,,2864,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","2825.1","3","NA","2","2","2","2","1","NA","2","6","2","1","NA","742.53","1186.92","NA","1","NA","1","NA","1","NA","513601","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",671,"3","2010","10",6,-3550,0,0,,,,,,,,,0,0,0,0,0,,6,,0,0,0,,3555,,"2","NA","2","NA","NA","NA","2","1","1","1","1","1","1","3","4","NA","2","NA","2","2","2","2","1","NA","3","6","2","1","NA","817.87","637.72","NA","1","NA","1","NA","2","1","1014301","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",673,"1","2010","16",22247,11956,0,0,,,,,,,,,0,0,0,889,0,,130,,0,1128,0,,9162,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","NA","3","6","2","1","282.51","626.04","304.26","NA","1","NA","1","NA","1","NA","341301","763702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",675,"3","2010","25",36844,30136,0,0,,,,,,,,,0,0,0,3730,0,,732,,0,0,0,,6709,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","NA","2","6","2","1","NA","730.1","992.65","NA","1","NA","1","NA","1","1","62501","472702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",682,"4","2010","32",44392,34266,0,0,,,,,,,,,0,0,0,0,0,,35,,0,1922,0,,8204,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","2354.25","2","NA","2","2","2","2","4","NA","2","6","2","1","NA","730.1","1032.67","NA","1","NA","1","NA","NA","1","NA","556401","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",685,"3","2010","36",48276,40329,0,0,,,,,,,,,0,0,0,9898,0,,0,,0,0,0,,7947,,"2","NA","2","NA","NA","NA","1","1","1","1","3","1","1","3","6","2354.25","2","3","2","2","2","2","4","NA","1","2","2","1","NA","590.82","972.12","NA","1","NA","1","NA","1","1","898101","226702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",716,"4","2010","30",17459,6601,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10858,,"2","NA","2","NA","NA","NA","1","1","2","1","1","3","1","1","3","1883.4","2","3","2","2","2","2","1","NA","2","6","2","1","NA","600.33","491","NA","1","NA","1","NA","1","1","324401","703901","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",719,"4","2010","12",19459,13317,0,0,,,,,,,,,0,0,0,0,0,,264,,0,26,0,,6115,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","NA","2825.1","3","NA","2","2","2","2","4","NA","2","6","2","1","NA","517.93","394.29","NA","1","NA","1","NA","1","NA","720001","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",723,"3","2010","25",31677,31101,0,0,,,,,,,,,0,0,0,0,0,,14,,0,17,0,,559,,"2","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","4","847.53","3","3","2","2","2","2","1","NA","3","5","2","NA","NA","817.87","418.96","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",724,"3","2010","19",50089,38812,0,0,,,,,,,,,0,0,0,0,0,,92,,0,660,0,,10616,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","2","NA","2","2","2","2","1","NA","2","5","2","1","NA","817.87","753.92","NA","1","NA","1","NA","1","1","265601","121702","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",745,"4","2010","24",21331,15478,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1236,0,,4617,,"2","NA","2","NA","2","NA","1","1","1","1","3","1","1","1","4","2354.25","2","NA","2","2","2","1","1","NA","2","6","2","1","NA","NA","437.04","NA","1","NA","1","NA","2","1","364601","197902","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",750,"4","2010","16",20056,14348,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5708,,"2","NA","2","NA","NA","NA","2","1","1","1","3","1","1","1","4","1883.4","3","NA","2","2","2","2","1","NA","2","6","2","1","NA","817.87","216.69","NA","1","NA","1","NA","1","NA","188101","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",837,"4","2010","10",23777,17366,0,0,,,,,,,,,0,0,0,0,0,,93,,0,0,0,,6411,,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","4","1412.55","2","3","1","2","2","2","2","NA","2","5","2","1","395.51","NA","327.24","NA","1","NA","1","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",855,"4","2010","14",38324,29190,0,0,,,,,,,,,0,0,0,7966,0,,0,,0,0,0,,9134,,"2","NA","1","NA","NA","NA","1","1","1","1","1","1","1","1","5","2825.1","2","NA","2","2","2","2","2","NA","2","6","2","1","NA","637.34","1103.48","NA","1","NA","1","NA","NA","1","960601","360402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",862,"4","2010","14",14856,14734,0,0,,,,,,,,,0,0,0,0,0,,162,,0,0,0,,122,,"2","NA","2","NA","NA","NA","1","2","1","1","1","1","1","1","4","847.53","2","NA","2","1","2","2","4","NA","3","2","1","1","391.46","NA","875.87","NA","1","NA","1","NA","NA","NA","665101","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",868,"4","2010","21",53721,47178,0,0,,,,,,,,,0,0,0,0,0,,867,,0,0,0,,6542,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","NA","NA","3","NA","2","2","2","2","2","NA","2","3","2","1","NA","517.93","992.65","NA","1","NA","1","NA","1","1","62501","1002902","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",872,"3","2010","59",12016,7808,0,0,,,,,,,,,0,0,0,0,0,,176,,0,156,0,,4052,,"1","NA","2","NA","NA","NA","1","1","2","1","1","1","1","1","4","NA","3","2","2","2","2","2","4","NA","2","3","2","1","NA","NA","259.72","NA","1","NA","1","NA","NA","2","62802","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",886,"2","2010","43",12470,7907,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4563,,"2","NA","2","NA","2","NA","1","NA","1","1","1","1","1","1","6","NA","2","NA","2","2","1","2","4","NA","3","3","2","1","NA","730.1","518.03","NA","1","NA","1","NA","NA","NA","557702","479802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",891,"4","2010","NA",38306,31082,0,0,,,,,,,,,0,0,0,0,0,,96,,0,0,0,,7224,,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","NA","2825.1","2","NA","2","2","2","2","4","NA","2","6","2","1","NA","742.53","555.6","NA","1","NA","1","NA","1","1","1002901","1002902","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",932,"2","2010","15",31923,28284,0,0,,,,,,,,,0,0,0,10601,0,,77,,0,0,0,,3639,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","6","NA","3","3","2","2","2","2","4","NA","2","5","2","1","NA","730.1","441.09","NA","1","NA","1","NA","1","NA","720001","720002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",954,"3","2010","NA",33345,26207,0,0,,,,,,,,,0,0,0,0,0,,453,,0,418,0,,6720,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","NA","2825.1","2","3","2","2","1","2","2","NA","2","4","2","1","NA","730.1","441.09","NA","1","NA","1","NA","1","1","514602","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",974,"3","2010","45",163407,154005,0,0,,,,,,,,,0,0,0,0,0,,0,,0,765,0,,8638,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","2354.25","3","NA","2","2","2","2","1","NA","2","6","2","1","NA","817.87","1550.41","NA","1","NA","1","NA","1","1","763701","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",977,"3","2010","NA",22912,20630,0,0,,,,,,,,,0,0,0,0,0,,442,,0,0,0,,2282,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","1","1","2","2","1","NA","2","6","2","1","NA","637.34","1550.41","NA","1","NA","1","NA","1","NA","921101","360402","NA","NA","NA","1",1,,,,,,,,,,,
