"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","SE",1361,687.024608501119,"1268.241","4","2012","8","3",1980,"2","2","2","SE","2","NA","5","1","NA","NA","2","NA","3","3","39","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","NA","3","2","NA","2","NA",50,177,44934,0,0,3747,1,133,0,0,0,0,0,0,0,0,1,"9.0298",31,136,"2","2","1","NA"
"2012","SE",1441,687.024608501119,"NA","3","2012","14","4",1983,"1","1","1","SE","2","NA","3","1","NA","1","NA","NA","3","7","NA","NA","g","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",0,0,20163,63,0,0,1,0,0,0,0,0,0,0,0,1043,1,"9.0298",28,144,"2","NA","NA","7"
"2012","SE",1531,687.024608501119,"NA","2","2012","73","1",1953,"2","2","2","SE","2","NA","5","2","NA","NA","NA","NA","3","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","1","3","2","NA","NA","NA",0,0,17362,0,0,4579,1,0,2448,0,0,0,0,0,0,0,1,"9.0298",58,153,"3","7","2","NA"
"2012","SE",1611,687.024608501119,"NA","2","2012","45","1",1979,"2","2","3","Other","1","NA","5","1","NA","NA","NA","NA","NA","0 - 1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA",0,0,1248,0,0,5043,1,66,-31,0,0,0,0,0,0,0,1,"9.0298",32,161,"3","2","NA","NA"
"2012","SE",1931,687.024608501119,"951.7187","3","2012","18","2",1985,"1","1","2","SE","2","NA","3","6","NA","NA","NA","NA","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","NA","NA",0,0,0,0,0,1904,1,0,0,0,0,0,0,0,0,9810,1,"9.0298",26,193,"2","6","NA","10"
"2012","SE",1991,687.024608501119,"1362.271","3","2012","14","1",1948,"2","3","1","Other","2","NA","NA","2","NA","NA","2","1","3","5","NA","NA","g","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","2","NA",0,598,0,0,0,7350,1,0,0,0,0,0,0,0,0,0,1,"9.0298",63,199,"2","2","2","NA"
"2012","SE",2001,687.024608501119,"950.0297","4","2012","14","1",1943,"2","2","1","SE","2","NA","5","2","NA","NA","2","NA","3","2","NA","NA","k","NA","NA","2","2","NA","NA","NA","NA","5","NA","3","1","NA","NA","NA",0,0,15652,0,0,2019,1,1332,0,0,0,0,0,83,0,0,1,"9.0298",68,200,"3","2","NA","NA"
"2012","SE",2451,687.024608501119,"NA","3","2012","17","2",1946,"1","2","1","SE","2","NA","3","7","NA","NA","NA","NA","3","7","40","5","NA","NA","12","1","1","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",0,0,40588,54,0,0,1,997,0,6541,0,0,0,0,0,0,1,"9.0298",65,245,"2","6","2","6"
"2012","SE",2571,687.024608501119,"NA","3","2012","17","4",1951,"2","2","3","SE","2","NA","3","8","NA","NA","NA","NA","3","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","2","2","NA","NA","NA",0,1218,0,0,0,0,1,0,0,0,0,0,0,0,19755,0,1,"9.0298",60,257,"2","6","NA","NA"
"2012","SE",2701,687.024608501119,"NA","2","2012","23","3",1931,"2","4","1","SE","2","NA","3","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","12","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","NA","NA",0,0,0,0,0,5703,1,0,0,0,0,60530,0,0,0,0,1,"9.0298",80,270,"2","2","1","NA"
"2012","SE",2721,687.024608501119,"950.0297","2","2012","21","3",1945,"2","1","1","SE","2","NA","3","7","NA","1","NA","NA","2","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","2","NA","2","NA",0,266,78,0,0,4000,1,0,0,0,0,16245,0,0,0,0,1,"9.0298",66,272,"3","3","NA","NA"
"2012","SE",3081,687.024608501119,"1316.523","4","2012","15","4",1942,"2","2","1","SE","2","NA","5","7","NA","NA","NA","NA","NA","2","40","NA","NA","NA","6","1","2","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA",0,0,0,0,0,3982,1,664,0,0,0,46352,0,0,0,0,1,"9.0298",69,308,"3","7","1","NA"
"2012","SE",3311,687.024608501119,"951.7187","1","2012","18","4",1931,"2","5","3","SE","2","NA","5","7","NA","2","NA","NA","3","2","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA",0,0,0,0,0,514,1,0,0,0,0,5165,0,0,0,0,1,"9.0298",80,331,"2","7","NA","NA"
"2012","SE",3651,687.024608501119,"1362.271","3","2012","17","1",1983,"1","1","1","SE","2","NA","3","1","NA","NA","NA","NA","3","7","40","NA","g","NA","NA","1","2","NA","NA","NA","NA","2","1","3","2","NA","2","NA",0,0,122747,2013,0,9829,1,0,0,0,0,0,0,0,0,0,1,"9.0298",28,365,"3","2","2","NA"
"2012","SE",3781,687.024608501119,"1108.146","3","2012","NA","3",1988,"1","1","1","SE","2","3","4","6","NA","1","1","NA","3","8","35","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","2","NA","NA","NA","2","NA",0,1303,0,0,0,6997,1,0,0,0,0,0,0,0,0,5573,1,"9.0298",23,378,"3","NA","1","7"
"2012","SE",3801,687.024608501119,"1139.544","3","2012","27","1",1984,"2","2","1","SE","2","NA","5","6","NA","NA","NA","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","2","NA","NA","1",0,0,14608,0,0,6454,1,0,0,0,0,0,0,0,0,3131,1,"9.0298",27,380,"2","2","2","NA"
"2012","SE",3821,687.024608501119,"1309.699","1","2012","23","3",1931,"1","5","3","SE","1","NA","2","7","NA","NA","2","NA","3","9","NA","NA","NA","NA","13","NA","2","NA","NA","NA","NA","1","2","1","2","NA","2","NA",0,0,0,0,0,10381,1,0,0,293,0,13766,0,0,0,0,1,"9.0298",80,382,"2","6","1","NA"
"2012","SE",3831,687.024608501119,"NA","4","2012","19","2",1943,"2","2","3","SE","2","NA","5","7","NA","NA","NA","NA","3","2","18","NA","NA","NA","12","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",0,66,0,0,0,0,1,0,0,0,0,56025,0,0,0,0,1,"9.0298",68,383,"2","6","NA","NA"
"2012","SE",3861,687.024608501119,"NA","3","2012","12","3",1954,"1","2","3","SE","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","55","NA","NA","NA","12","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",0,0,48152,0,0,283,1,0,0,0,0,0,0,0,0,0,1,"9.0298",57,386,"3","6","2","NA"
"2012","SE",4171,687.024608501119,"1309.699","2","2012","14","2",1985,"1","1","3","SE","2","NA","3","1","NA","NA","NA","NA","3","3","40","NA","l-n","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","NA","2","NA",208,155,36835,0,0,323,1,0,0,0,0,0,0,0,0,0,1,"9.0298",26,417,"3","2","2","NA"
"2012","SE",4201,687.024608501119,"1033.63","4","2012","21","2",1983,"1","1","2","SE","2","NA","5","6","NA","1","2","NA","3",,"NA","NA","NA","NA","13","NA","2","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA",201,189,0,0,0,6079,1,0,0,0,0,0,0,0,0,475,1,"9.0298",28,420,"3","2","1","NA"
"2012","SE",4231,687.024608501119,"1268.241","3","2012","15","1",1988,"1","3","3","SE","NA","NA","5","NA","NA","NA","2","NA","NA",,"NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA",0,0,6412,0,0,9258,1,0,0,0,0,0,0,0,0,1050,1,"9.0298",23,423,"3","7","NA","7"
"2012","SE",4401,687.024608501119,"1307.565","3","2012","14","1",1933,"2","4","3","SE","2","NA","1","7","NA","1","NA","NA","3","0 - 1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","1","3","NA","NA","2","NA",0,0,150,0,0,0,1,399,0,0,0,19104,0,0,6467,0,1,"9.0298",78,440,"2","2","2","NA"
"2012","SE",4751,687.024608501119,"1108.146","4","2012","17","3",1944,"1","2","2","SE","2","NA","3","7","NA","NA","NA","NA","1","7","55","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",0,0,0,0,0,1647,1,0,0,2757,0,56170,0,0,0,0,1,"9.0298",67,475,"2","2","1","NA"
"2012","SE",5071,687.024608501119,"951.7187","4","2012","51","2",1931,"2","2","1","SE","2","5","4","7","NA","1","NA","NA","3","4","34","10","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",159,0,0,0,0,0,1,0,4018,3873,0,11895,0,0,0,0,1,"9.0298",80,507,"2","6","1","NA"
"2012","SE",5201,687.024608501119,"NA","3","2012","29","2",1980,"1","1","1","SE","2","NA","5","1","NA","1","NA","NA","3","7","40","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","2","3","NA","NA","2","NA",0,0,28525,0,0,8626,1,0,0,0,0,0,0,0,0,0,1,"9.0298",31,520,"2","6","NA","NA"
"2012","SE",5311,687.024608501119,"1307.565","3","2012","13","1",1943,"2","2","1","SE","2","NA","3","7","NA","NA","NA","NA","3","4","45","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA",0,1329,0,0,0,2945,1,0,0,4894,0,22079,0,0,0,0,1,"9.0298",68,531,"3","6","NA","NA"
"2012","SE",5411,687.024608501119,"NA","3","2012","46","3",1947,"2","3","3","SE","2","NA","5","1","NA","NA","NA","NA","3","2","34","15","q","NA","NA","1","2","NA","NA","NA","NA","3","2","2","2","NA","NA","NA",0,0,27651,0,0,46,1,244,378,0,0,0,0,0,0,0,1,"9.0298",64,541,"3","6","NA","1"
"2012","SE",5421,687.024608501119,"1175.022","4","2012","15","1",1956,"2","3","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","35","NA","l-n","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA",37,0,43048,0,0,3498,1,0,0,0,0,0,0,0,0,0,1,"9.0298",55,542,"2","6","1","8"
"2012","SE",5931,687.024608501119,"1033.63","3","2012","10","1",1946,"1","5","3","SE","2","NA","5","1","NA","NA","NA","NA","3","2","20","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","2","3","NA","NA","NA","NA",0,0,30449,0,0,6301,1,0,0,0,0,0,0,0,0,0,1,"9.0298",65,593,"2","2","NA","NA"
"2012","SE",5941,687.024608501119,"1309.699","3","2012","11","2",1972,"1","2","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","40","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","3","NA","3","2","NA","2","NA",0,0,94925,0,0,0,1,0,0,0,0,2413,0,0,0,0,1,"9.0298",39,594,"3","2","NA","NA"
"2012","SE",6021,687.024608501119,"1108.146","3","2012","17","1",1978,"1","1","3","EU","2","NA","5","1","NA","1","NA","NA","3","2","NA","NA","l-n","NA","NA","1","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",0,0,18142,0,0,7897,1,0,0,0,0,0,0,0,0,0,1,"9.0298",33,602,"2","6","1","NA"
"2012","SE",6071,687.024608501119,"NA","4","2012","14","1",1956,"2","2","1","SE","2","NA","3","1","NA","NA","NA","NA","3","5","55","NA","NA","NA","6","1","2","NA","NA","NA","NA","1","1","3","2","NA","2","NA",0,1329,189442,2218,0,0,1,505,0,2785,0,0,0,0,0,0,1,"9.0298",55,607,"2","2","NA","NA"
"2012","SE",6251,687.024608501119,"1309.699","4","2012","13","3",1973,"2","5","1","SE","2","NA","4","2","NA","NA","NA","NA","3","9","30","15","q","NA","NA","NA","2","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",0,0,38362,65,0,120,1,0,0,0,0,0,0,0,0,10708,1,"9.0298",38,625,"2","2","2","2"
"2012","SE",6351,687.024608501119,"1139.544","2","2012","17","4",1989,"2","1","1","SE","2","4","3","6","NA","1","NA","NA","3","5","30","NA","NA","NA","13","NA","2","NA","NA","NA","NA","3","1","3","NA","NA","NA","NA",0,0,12686,0,0,402,1,0,0,0,0,0,0,0,0,7726,1,"9.0298",22,635,"3","7","2","NA"
"2012","SE",6431,687.024608501119,"NA","1","2012","21","1",1949,"2","1","1","SE","2","NA","2","1","NA","NA","2","NA","3","8","12","NA","l-n","NA","1","1","1","NA","NA","NA","NA","NA","1","NA","2","6","NA","NA",126,0,43580,0,0,4825,1,664,0,0,0,0,0,0,0,0,1,"9.0298",62,643,"2","7","1","NA"
"2012","SE",6561,687.024608501119,"973.1522","1","2012","13","2",1983,"1","1","1","SE","2","NA","3","1","NA","NA","NA","NA","3","7","NA","NA","b-e","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",0,0,32973,0,0,0,1,0,0,0,0,0,0,0,0,5081,1,"9.0298",28,656,"2","2","1","NA"
"2012","SE",6921,687.024608501119,"NA","2","2012","16","1",1931,"2","2","3","SE","2","4","5","7","NA","NA","2","NA","3","2","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","1","2","NA","NA","2","1",52,0,0,0,0,0,1,716,0,5743,0,19708,0,0,0,0,1,"9.0298",80,692,"2","7","2","NA"
"2012","SE",7011,687.024608501119,"1309.699","1","2012","11","4",1984,"1","1","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","32","NA","l-n","NA","NA","1","2","NA","NA","NA","NA","1","2","3","NA","NA","2","NA",0,0,12200,0,0,5041,1,1329,0,0,9,0,0,0,0,15842,1,"9.0298",27,701,"3","7","1","10"
"2012","SE",7051,687.024608501119,"NA","2","2012","14","1",1981,"2","1","2","SE","NA","NA","5","1","NA","NA","2","NA","3","2","NA","NA","q","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","NA","NA",0,0,4633,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"9.0298",30,705,"3","2","2","3"
"2012","SE",7111,687.024608501119,"1168.482","3","2012","15","2",1931,"2","4","2","SE","2","NA","3","7","NA","NA","1","NA","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","2","NA","1","NA",0,0,0,0,0,609,1,1329,0,0,0,16379,0,0,0,0,1,"9.0298",80,711,"2","2","2","NA"
"2012","SE",7151,687.024608501119,"1621.177","4","2012","42","2",1945,"2","1","3","EU","1","NA","3","7","NA","2","NA","NA","3","0 - 1","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA",0,0,0,0,0,0,1,0,0,0,0,9015,0,0,0,0,1,"9.0298",66,715,"2","7","NA","NA"
"2012","SE",7551,687.024608501119,"NA","3","2012","25","2",1945,"2","2","3","SE","2","NA","3","7","NA","NA","NA","NA","3","0 - 1","60","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","2","NA","2","NA",0,0,0,0,0,0,1,1329,-3302,0,0,51435,0,0,0,0,1,"9.0298",66,755,"3","5","1","NA"
"2012","SE",7781,687.024608501119,"NA","3","2012","28","1",1931,"2","4","1","SE","1","NA","2","7","NA","1","NA","1","NA","2","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","1","2","3","2","NA","NA","NA",0,0,0,0,0,0,1,0,0,0,0,4722,0,0,0,0,1,"9.0298",80,778,"2","7","NA","NA"
"2012","SE",7841,687.024608501119,"NA","3","2012","22","3",1945,"2","2","3","SE","2","NA","5","7","NA","1","2","NA","1",,"NA","NA","NA","2","NA","NA","2","NA","NA","NA","NA","3","2","1","2","NA","1","NA",0,0,108,0,0,57375,1,0,0,1127,0,28781,0,0,0,0,1,"9.0298",66,784,"2","2","NA","NA"
"2012","SE",8731,687.024608501119,"1307.565","3","2012","20","1",1972,"2","1","2","SE","1","NA","5","1","NA","1","2","NA","NA","2","20","NA","q","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","NA",34,0,1308,0,0,210,1,0,0,0,0,0,0,0,0,0,1,"9.0298",39,873,"2","2","2","NA"
"2012","SE",8921,687.024608501119,"1316.523","3","2012","12","1",1948,"2","5","3","SE","2","NA","3","1","NA","NA","NA","NA","3","7","40","NA","l-n","NA","NA","NA","2","NA","NA","NA","NA","3","NA","3","NA","NA","2","NA",0,0,22426,0,0,0,1,282,16607,0,0,0,0,93,0,0,1,"9.0298",63,892,"3","6","1","NA"
"2012","SE",9001,687.024608501119,"NA","2","2012","13","2",1931,"2","4","1","SE","2","NA","2","7","NA","1","NA","NA","3","9","32","NA","NA","NA","4","NA","2","NA","NA","NA","NA","2","1","NA","NA","NA","2","8",0,0,0,0,0,4028,1,0,0,0,0,20331,0,0,0,0,1,"9.0298",80,900,"2","2","1","NA"
"2012","SE",9061,687.024608501119,"1362.271","3","2012","25","1",1980,"1","1","1","SE","2","NA","4","6","NA","NA","1","NA","NA","2","34","NA","NA","NA","NA","1","2","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA",0,0,0,0,0,0,1,399,0,0,0,0,0,0,0,0,1,"9.0298",31,906,"2","7","2","NA"
"2012","SE",9111,687.024608501119,"NA","3","2012","16","4",1981,"1","1","1","SE","2","NA","3","3","NA","NA","NA","NA","3","7","45","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","3","2","NA","2","1",0,399,0,0,0,3131,1,2047,35962,0,0,0,0,0,0,0,1,"9.0298",30,911,"2","2","1","NA"
"2012","SE",9231,687.024608501119,"NA","1","2012","26","1",1950,"2","1","2","EU","2","NA","3","1","NA","NA","NA","NA","3","5","40","NA","p","NA","NA","1","2","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA",0,0,28561,2019,2010,3230,1,0,0,0,0,0,0,0,0,0,1,"9.0298",61,923,"2","2","NA","NA"
"2012","SE",9291,687.024608501119,"973.1522","3","2012","38","1",1931,"2","4","3","SE","2","NA","2","7","NA","NA","2","NA","NA","5","40","NA","NA","NA","13","1","2","NA","NA","NA","NA","1","2","3","NA","NA","2","NA",0,0,0,0,0,3680,1,133,0,0,0,27587,0,0,0,0,1,"9.0298",80,929,"3","6","2","NA"
"2012","SE",9731,687.024608501119,"NA","3","2012","36","2",1948,"1","2","3","SE","2","NA","3","7","NA","NA","NA","NA","3","3","30","NA","NA","NA","NA","2","2","NA","NA","NA","NA","4","2","NA","NA","NA","2","NA",0,620,0,0,0,4391,1,89,0,0,0,22950,0,0,0,0,1,"9.0298",63,973,"3","2","2","6"
"2012","SE",9951,687.024608501119,"NA","1","2012","49","3",1948,"2","5","1","SE","2","NA","3","8","NA","NA","NA","NA","3","2","NA","NA","NA","2","11","1","2","NA","NA","NA","NA","1","2","3","NA","NA","2","NA",0,0,0,0,0,4476,1,0,0,13103,0,15294,0,0,0,0,1,"9.0298",63,995,"2","7","2","NA"
"2012","SE",10161,687.024608501119,"1575.675","3","2012","8","3",1944,"1","2","1","SE","2","5","3","3","NA","1","2","NA","3","7","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","5","NA","2","NA","NA","2","NA",0,303,0,0,0,0,1,757,15339,5535,0,0,0,0,0,0,1,"9.0298",67,1016,"3","5","NA","NA"
"2012","SE",10191,687.024608501119,"NA","4","2012","36","1",1985,"2","3","3","SE","2","NA","5","2","NA","NA","2","NA","3","2","NA","NA","l-n","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","2","NA","NA","NA",0,2241,16483,162,0,8407,1,0,0,0,0,0,0,0,0,14478,1,"9.0298",26,1019,"3","2","1","NA"
"2012","SE",10201,687.024608501119,"NA","3","2012","24","2",1977,"1","1","1","SE","2","NA","4","1","NA","NA","NA","NA","3","0 - 1","43","NA","g","NA","13","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA",0,1329,60072,0,0,0,1,468,0,0,0,0,0,1201,0,0,1,"9.0298",34,1020,"3","2","NA","NA"
"2012","SE",10241,687.024608501119,"1168.482","3","2012","25","3",1981,"1","1","1","SE","2","NA","5","2","NA","NA","NA","NA","3","2","40","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","NA","NA","2","NA","2","NA",585,0,20901,0,0,0,1,0,0,0,0,0,0,0,0,4144,1,"9.0298",30,1024,"2","3","NA","NA"
"2012","SE",10681,687.024608501119,"1033.63","3","2012","36","4",1943,"2","2","1","SE","2","NA","3","7","NA","NA","2","1","3","4","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","1","1","1","NA","2","NA",117,0,0,0,0,8108,1,565,0,0,0,20896,0,0,0,0,1,"9.0298",68,1068,"2","2","1","NA"
"2012","SE",10951,687.024608501119,"NA","4","2012","24","4",1964,"2","1","3","EU","2","NA","3","1","NA","NA","NA","NA","3","8","NA","NA","b-e","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",0,0,20916,0,0,7310,1,0,0,0,0,0,0,689,0,0,1,"9.0298",47,1095,"2","7","1","NA"
"2012","SE",10971,687.024608501119,"1309.699","1","2012","14","4",1982,"2","2","1","SE","2","NA","5","1","NA","1","NA","NA","3","2","35","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","1","3","NA","NA","NA","NA",3,0,23088,0,0,3237,1,0,0,0,0,0,0,0,0,0,1,"9.0298",29,1097,"2","2","2","NA"
"2012","SE",11361,687.024608501119,"1362.271","3","2012","28","1",1963,"1","2","1","SE","2","NA","3","3","NA","1","2","NA","3","7","43","NA","NA","NA","13","1","NA","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",13,133,40707,3908,3908,7241,1,0,0,0,0,0,0,0,0,0,1,"9.0298",48,1136,"2","6","2","NA"
"2012","SE",11421,687.024608501119,"951.7187","3","2012","22","2",1951,"2","5","3","SE","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","40","NA","q","NA","NA","NA","2","NA","NA","NA","NA","1","2","NA","2","NA","2","NA",0,1107,43344,0,0,4766,1,0,0,0,0,0,0,0,0,0,1,"9.0298",60,1142,"2","2","NA","NA"
"2012","SE",11471,687.024608501119,"1309.699","4","2012","15","4",1972,"1","2","1","SE","2","NA","6","1","NA","NA","NA","NA","3","2","40","NA","p","NA","12","NA","NA","NA","NA","NA","NA","2","2","3","2","NA","NA","NA",0,399,83891,0,0,6045,1,0,0,0,0,0,0,0,0,0,1,"9.0298",39,1147,"2","2","1","NA"
"2012","SE",11641,687.024608501119,"NA","3","2012","15","2",1943,"2","5","3","SE","2","NA","5","2","NA","1","2","1","NA","2","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","1","NA","3","2","NA","2","NA",0,0,19582,0,0,9875,1,0,0,0,0,0,9669,0,0,0,1,"9.0298",68,1164,"2","2","2","7"
"2012","SE",12021,687.024608501119,"1309.699","1","2012","15","2",1945,"2","2","2","SE","1","5","3","7","NA","2","2","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA",0,177,97,0,0,12556,1,0,0,0,9531,0,0,0,0,0,1,"9.0298",66,1202,"3","2","2","NA"
