"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010"
"2004","SE",1351,787.521440823328,"NA","2","2004","55","4",1979,"1","1","1","SE","2","NA","2","1","NA","NA","2","NA","3","4","40","0","0","NA","k","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","2","NA","2","5",0,0,0,7540,0,0,0,0,0,0,0,0,0,0,2650,1,135,"3",24,"1","9.1242"
"2004","SE",1441,787.521440823328,"NA","1","2004","90","4",1923,"2","4","1","SE","2","NA","1","5","NA","1","1","NA","NA","8","16","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,15960,0,0,0,0,1,144,"2",80,"3","9.1242"
"2004","SE",1521,787.521440823328,"1250.7","3","2004","50","1",1966,"1","1","1","SE","2","NA","3","1","NA","NA","NA","1","3","2","40","12","0","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","3","NA","NA","2","NA",0,0,0,61504,0,0,0,0,0,0,0,0,0,0,0,1,152,"3",37,"1","9.1242"
"2004","SE",1931,787.521440823328,"1274.3","4","2004","78","3",1942,"1","2","1","SE","2","NA","1","2","NA","NA","NA","NA","3","9","40","0","12","NA","k","NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",0,0,0,53588,0,0,0,0,0,0,0,0,0,0,0,1,193,"2",61,"1","9.1242"
"2004","SE",1981,787.521440823328,"1250.7","4","2004","90","2",1934,"2","5","1","EU","2","NA","3","5","NA","1","NA","NA","3","5","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA",0,263,0,0,0,0,0,0,2375,0,12155,0,0,0,0,1,198,"2",69,"1","9.1242"
"2004","SE",1991,787.521440823328,"1091.3","4","2004","52","2",1983,"2","1","3","SE","2","NA","3","2","NA","NA","2","NA","NA","4","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA",2689,0,0,2669,0,204,0,0,0,0,0,0,0,0,0,1,199,"2",20,"1","9.1242"
"2004","SE",2441,787.521440823328,"957.3","4","2004","60","4",1956,"2","3","1","SE","2","NA","5","1","NA","1","NA","NA","3","2","65","12","0","3","j","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",0,0,0,32375,0,132,0,0,0,0,0,0,0,0,0,1,244,"2",47,"1","9.1242"
"2004","SE",2561,787.521440823328,"NA","2","2004","55","1",1974,"2","2","3","SE","1","NA","5","8","NA","NA","2","NA","3","5","NA","0","3","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",0,1312,0,1277,0,0,0,0,0,0,0,0,29,0,0,1,256,"2",29,"1","9.1242"
"2004","SE",2691,787.521440823328,"1308.1","1","2004","90","4",1923,"1","1","3","SE","2","NA","2","5","NA","NA","2","NA","NA","4","NA","12","0","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","2","NA","2","NA",0,263,0,0,0,0,0,0,0,0,21111,0,0,0,0,1,269,"3",80,"3","9.1242"
"2004","SE",2711,787.521440823328,"NA","4","2004","45","2",1956,"1","5","2","SE","2","NA","3","1","NA","NA","NA","NA","3","7","36","0","12","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","2","NA",0,1382,0,51182,0,0,0,0,0,0,0,0,0,0,0,1,271,"3",47,"3","9.1242"
"2004","SE",3071,787.521440823328,"1084.5","4","2004","50","4",1956,"2","2","3","SE","2","NA","2","1","NA","NA","2","NA","3","4","NA","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",0,263,0,0,0,225,20899,0,0,0,0,0,0,0,0,1,307,"2",47,"1","9.1242"
"2004","SE",3301,787.521440823328,"1126.2","1","2004","90","1",1938,"2","1","3","SE","2","NA","1","5","NA","NA","NA","NA","3","8","20","10","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","NA","2","NA",0,132,0,0,0,0,0,0,0,0,21495,0,0,0,0,1,330,"2",65,"1","9.1242"
"2004","SE",3631,787.521440823328,"1412.7","1","2004","75","3",1976,"1","1","1","SE","2","NA","3","1","NA","NA","NA","NA","3","8","50","0","0","NA","i","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","NA",0,711,0,30799,0,0,0,0,0,0,0,0,94,0,0,1,363,"2",27,"4","9.1242"
"2004","SE",3791,787.521440823328,"NA","4","2004","75","4",1982,"1","1","1","SE","2","NA","3","1","NA","2","2","NA","NA","7","NA","6","0","NA","f","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","1","NA","NA","NA","NA",0,0,0,643,0,0,0,0,0,0,0,0,0,0,686,1,379,"3",21,"1","9.1242"
"2004","SE",3821,787.521440823328,"1166.1","2","2004","54","1",1965,"1","2","3","SE","2","NA","5","1","NA","NA","NA","NA","3","2","40","12","0","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","NA","NA","2","NA",3953,494,0,75238,198,518,0,0,0,0,0,0,747,0,0,1,382,"3",38,"4","9.1242"
"2004","SE",3851,787.521440823328,"1342.3","4","2004","75","2",1936,"2","2","3","SE","2","NA","1","5","NA","1","NA","NA","3",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","2","3","NA","NA","2","NA",0,0,0,0,0,1269,0,0,0,0,17194,0,0,0,0,1,385,"2",67,"3","9.1242"
"2004","SE",4161,787.521440823328,"1177.1","3","2004","65","4",1966,"1","1","2","EU","2","NA","3","1","NA","NA","2","NA","3","5","35","0","0","NA","i","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","1","1","2","NA","2","NA",0,0,0,16189,0,0,54,0,0,0,0,0,0,0,0,1,416,"3",37,"3","9.1242"
"2004","SE",4181,787.521440823328,"1589.7","1","2004","75","4",1923,"2","4","1","SE","1","NA","1","5","NA","2","2","NA","NA",,"NA","0","0","NA","NA","3","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,8365,0,0,0,0,1,418,"2",80,"1","9.1242"
"2004","SE",4731,787.521440823328,"991.3","1","2004","52","4",1983,"1","1","2","SE","2","5","3","1","NA","NA","NA","NA","3",,"NA","0","0","NA","NA","NA","13","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","2","NA",78,825,0,15692,0,1315,0,0,0,0,0,0,0,0,0,1,473,"2",20,"1","9.1242"
"2004","SE",5051,787.521440823328,"1234.1","1","2004","80","4",1924,"1","2","1","SE","2","5","NA","5","NA","2","NA","NA","NA",,"40","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8",35,0,0,0,0,314,0,0,0,0,0,0,0,0,0,1,505,"2",79,"3","9.1242"
"2004","SE",5191,787.521440823328,"1084.5","2","2004","70","4",1973,"2","1","3","SE","2","NA","3","4","NA","NA","NA","NA","3","3","43","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",0,0,0,8404,0,0,0,0,0,0,0,0,0,0,19753,1,519,"3",30,"3","9.1242"
"2004","SE",5301,787.521440823328,"NA","1","2004","50","4",1977,"2","1","2","SE","2","NA","4","1","NA","1","NA","NA","3","3","28","12","0","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA",0,0,0,19963,0,0,0,0,0,0,0,0,0,0,0,1,530,"3",26,"1","9.1242"
"2004","SE",5391,787.521440823328,"1210.7","3","2004","35","1",1975,"1","1","3","SE","1","NA","5","4","NA","NA","NA","NA","3","3","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","3","NA","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7025,1,539,"2",28,"1","9.1242"
"2004","SE",5401,787.521440823328,"NA","1","2004","40","1",1966,"1","1","3","Other","2","3","1","1","NA","NA","1","NA","3","9","NA","0","0","NA","k","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA","NA","NA",0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,540,"3",37,"3","9.1242"
"2004","SE",5911,787.521440823328,"1176.7","1","2004","90","4",1977,"2","1","3","SE","2","NA","3","1","NA","NA","NA","NA","NA","6","40","12","0","NA","o","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA",0,258,0,25784,0,583,0,0,0,0,0,0,0,0,0,1,591,"2",26,"3","9.1242"
"2004","SE",6001,787.521440823328,"1069.9","2","2004","55","1",1953,"1","2","2","SE","2","NA","2","1","NA","1","NA","NA","3","6","40","12","0","NA","b-e","NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",0,0,0,16291,3240,0,7327,0,0,0,0,0,0,0,0,1,600,"3",50,"3","9.1242"
"2004","SE",6051,787.521440823328,"NA","4","2004","75","3",1946,"2","5","1","SE","2","NA","3","6","NA","NA","2","NA","NA","5","30","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",0,0,0,5841,0,0,0,0,0,0,2053,6036,0,8728,0,1,605,"2",57,"1","9.1242"
"2004","SE",6231,787.521440823328,"NA","2","2004","90","2",1982,"2","1","1","SE","2","NA","2","3","NA","1","2","NA","NA","9","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA",0,0,0,918,0,0,0,0,0,611,0,0,0,0,411,1,623,"3",21,"1","9.1242"
"2004","SE",6331,787.521440823328,"1389.1","3","2004","80","1",1959,"1","1","3","SE","1","3","5","1","NA","1","2","NA","NA","3","NA","3","0","NA","k","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA",0,0,0,4036,0,827,247,0,0,0,0,0,0,0,0,1,633,"2",44,"3","9.1242"
"2004","SE",6411,787.521440823328,"NA","1","2004","52","3",1958,"1","1","2","SE","1","3","3","1","NA","NA","2","NA","NA","3","NA","2","2","NA","g","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","3","2","NA","NA","NA",2525,99,0,666,0,0,0,0,0,0,0,0,54,0,0,1,641,"3",45,"4","9.1242"
"2004","SE",6541,787.521440823328,"1250.7","1","2004","NA","4",1936,"2","2","1","SE","2","NA","1","5","NA","2","NA","NA","NA",,"NA","8","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,12226,0,0,0,0,1,654,"2",67,"3","9.1242"
"2004","SE",6891,787.521440823328,"1387.3","4","2004","60","2",1944,"2","2","1","SE","2","NA","3","2","NA","NA","NA","NA","3","4","40","12","0","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA",0,263,0,74455,0,0,0,0,0,0,0,0,0,0,0,1,689,"2",59,"1","9.1242"
"2004","SE",6981,787.521440823328,"1050.9","1","2004","40","2",1954,"2","4","1","SE","2","NA","3","8","NA","NA","2","NA","NA","5","40","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","3","NA","NA","NA","NA",0,0,0,15226,0,0,0,0,0,0,0,0,10309,0,0,1,698,"3",49,"3","9.1242"
"2004","SE",6991,787.521440823328,"1122.4","2","2004","65","4",1975,"1","2","3","Other","1","NA","3","1","NA","NA","NA","NA","NA","8","NA","0","0","NA","NA","NA","6","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","2","NA","2","NA",0,0,0,30618,0,0,0,0,0,0,0,0,0,0,0,1,699,"3",28,"1","9.1242"
"2004","SE",7031,787.521440823328,"1134.6","2","2004","60","2",1925,"1","2","3","Other","1","NA","NA","5","NA","NA","NA","NA","2",,"NA","2","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","NA",0,507,0,1464,0,0,0,0,0,0,1099,0,1066,4680,0,1,703,"2",78,"4","9.1242"
"2004","SE",7091,787.521440823328,"NA","2","2004","90","3",1968,"1","1","3","SE","2","NA","3","1","NA","NA","NA","NA","3","5","40","0","0","NA","g","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","6","NA","NA",0,121,0,41049,595,0,0,0,0,0,0,0,836,0,0,1,709,"3",35,"1","9.1242"
"2004","SE",7121,787.521440823328,"1176.7","2","2004","70","2",1942,"2","2","2","SE","2","NA","3","1","NA","1","NA","NA","3","3","40","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA",45,0,0,18840,0,0,0,0,0,0,0,0,1478,0,0,1,712,"2",61,"1","9.1242"
"2004","SE",7531,787.521440823328,"1591.2","2","2004","90","3",1968,"1","1","3","SE","2","NA","5","1","NA","NA","NA","NA","3","2","96","12","0","NA","k","NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","2","NA",0,0,0,44955,0,0,0,0,0,0,0,0,0,0,1734,1,753,"2",35,"1","9.1242"
"2004","SE",7751,787.521440823328,"NA","2","2004","51","3",1972,"1","1","1","SE","2","NA","3","1","NA","NA","NA","NA","3","2","38","12","0","NA","k","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",0,0,0,23895,0,0,0,0,0,0,0,0,0,0,0,1,775,"3",31,"1","9.1242"
"2004","SE",8701,787.521440823328,"NA","2","2004","80","1",1930,"1","4","3","SE","2","NA","3","5","NA","NA","NA","NA","3","0 - 1","40","12","0","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,29928,0,0,0,0,1,870,"3",73,"1","9.1242"
"2004","SE",8891,787.521440823328,"1563.7","2","2004","90","3",1932,"2","2","2","SE","2","NA","3","5","NA","1","NA","1","NA","4","40","0","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA",86,0,0,0,0,0,0,0,14648,0,3127,0,0,0,0,1,889,"2",71,"1","9.1242"
"2004","SE",9031,787.521440823328,"NA","2","2004","55","2",1923,"2","4","2","SE","2","NA","1","5","NA","NA","NA","NA","3",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,13064,0,0,0,0,1,903,"3",80,"1","9.1242"
"2004","SE",9081,787.521440823328,"1096.4","2","2004","60","1",1970,"1","1","3","SE","2","NA","3","1","NA","NA","NA","NA","3","5","40","10","0","NA","NA","NA","13","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",0,0,0,39080,0,0,0,0,0,0,0,0,1161,0,0,1,908,"2",33,"1","9.1242"
"2004","SE",9201,787.521440823328,"1757.7","3","2004","85","2",1981,"1","1","3","SE","2","NA","4","4","NA","NA","2","NA","3",,"40","0","0","NA","NA","NA","13","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA",0,0,0,7053,0,538,0,0,0,0,0,0,0,0,23511,1,920,"2",22,"1","9.1242"
"2004","SE",9261,787.521440823328,"1356.3","1","2004","55","3",1926,"2","2","3","SE","2","NA","4","5","NA","NA","NA","NA","3","4","32","0","0","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","2","3","1","NA","2","NA",343,696,0,0,0,0,0,0,0,0,18475,0,0,0,0,1,926,"3",77,"1","9.1242"
"2004","SE",9691,787.521440823328,"1382","4","2004","60","3",1950,"2","1","3","SE","2","5","2","2","NA","2","2","NA","NA","4","NA","4","0","NA","l-n","NA","13","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","2","NA",0,0,0,3654,0,0,0,0,0,0,0,0,0,0,245,1,969,"2",53,"3","9.1242"
"2004","SE",9911,787.521440823328,"1176.7","2","2004","60","1",1949,"2","2","3","SE","2","NA","2","6","NA","NA","NA","NA","NA",,"NA","0","12","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","6","1","NA",0,241,0,0,0,0,40,0,0,0,0,0,0,16719,0,1,991,"2",54,"NA","9.1242"
"2004","SE",10121,787.521440823328,"1186.3","4","2004","90","1",1961,"1","1","1","SE","2","3","1","1","NA","1","NA","NA","NA","7","30","0","12","NA","k","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA",0,0,0,29446,577,0,479,0,0,0,0,0,0,0,0,1,1012,"2",42,"3","9.1242"
"2004","SE",10151,787.521440823328,"1320.4","3","2004","90","4",1973,"2","2","3","Other","2","NA","5","4","NA","2","NA","NA","NA","0 - 1","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","1","NA","NA","2","NA",0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,"2",30,"1","9.1242"
"2004","SE",10171,787.521440823328,"NA","4","2004","60","3",1965,"1","2","1","SE","2","NA","5","1","NA","1","NA","NA","3","8","NA","12","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","1","NA","NA","NA","NA",0,0,0,16998,3946,0,0,0,0,0,0,0,0,0,0,1,1017,"3",38,"1","9.1242"
"2004","SE",10211,787.521440823328,"NA","3","2004","70","3",1954,"1","2","2","SE","2","NA","5","6","NA","1","NA","NA","3","8","65","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,16998,0,1,1021,"3",49,"1","9.1242"
"2004","SE",10641,787.521440823328,"1216.1","1","2004","90","1",1932,"2","2","3","SE","2","NA","1","5","NA","NA","2","NA","3",,"NA","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","1","NA",0,110,0,0,0,0,0,0,0,0,14904,0,0,0,0,1,1064,"2",71,"3","9.1242"
"2004","SE",10911,787.521440823328,"NA","4","2004","65","1",1932,"2","5","3","SE","2","NA","3","5","NA","NA","NA","NA","NA",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","2","NA","1","NA",27,263,0,0,0,0,0,0,0,0,10335,0,0,0,0,1,1091,"3",71,"1","9.1242"
"2004","SE",10931,787.521440823328,"1163.5","2","2004","90","2",1976,"2","1","3","Other","2","NA","5","8","NA","2","NA","2","NA","4","NA","12","0","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","1","NA","NA","NA","NA",0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1093,"2",27,"3","9.1242"
