"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","SE",380,"1","2012","40",20251,12480,0,0,,,,,,,,,0,0,0,0,0,,2512,,0,389,0,,7382,,"NA","3","NA","2","1","1","1","1","1","1","3","5","NA","3","NA","2","2","2","2","4","3","5","2","1","664.47","930.7","698.91","NA","1","1",,"1",1,,,,,,"2","NA","1","1","1","1","1","4","3","3","4","4","3","NA","3","NA"
"2012","SE",382,"1","2012","20",14059,6709,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7350,,"3","3","NA","2","1","2","1","1","1","1","1","6","2436.38","2","3","2","2","2","2","1","2","4","2","1","NA","1183.75","1146.54","NA","1","1",,"1",1,,,,,,"2","160","2","1","1","1","1","4","4","4","4","2","4","NA","3","NA"
"2012","SE",383,"3","2012","37",56296,51777,0,0,,,,,,,,,0,0,0,0,0,,271,,0,930,0,,3588,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","1","2","2","2","2","2","1","1","3","2","1","NA","1183.75","865.02","NA","1","1",,"1",1,,,,,,"2","115","1","1","1","1","1","4","3","4","3","1","3","NA","3","NA"
"2012","SE",386,"3","2012","21",48377,6843,0,0,,,,,,,,,0,0,0,0,0,,225,,0,6516,0,,35017,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","3","5","2","1","NA","1183.75","2078.56","NA","1","1",,"1",1,,,,,,"2","112","1","1","1","1","1","4","4","3","4","NA","2","NA","3","NA"
"2012","SE",417,"2","2012","18",36835,30924,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5912,,"3","3","3","1","1","1","1","1","1","1","1","5","3322.33","3","NA","2","2","2","2","1","3","6","2","1","NA","777.09","1584.2","0","1","1",,"1",1,,,,,,"2","200","2","2","1","1","1","4","4","4","4","4","3","NA","3","NA"
"2012","SE",420,"4","2012","NA",506,294,0,0,,,,,,,,,0,0,0,0,0,,31,,0,0,0,,211,,"3","3","NA","1","1","1","1","1","1","1","1","4","1328.93","3","NA","2","2","2","2","1","2","3","NA","1","741.99","777.09","314.07","NA","1","1",,"1",1,,,,,,"2","54","1","1","1","1","1","3","3","4","2","4","3","NA","3","NA"
"2012","SE",423,"3","2012","9",7468,5734,0,0,,,,,,,,,0,0,0,0,0,,6,,0,0,0,,1734,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","2","2","3","2","1","NA","1069.35","533.35","NA","1","1",,"1",1,,,,,,"2","70","1","1","1","1","1","4","4","3","4","3","3","NA","3","NA"
"2012","SE",440,"4","2012","25",25721,17436,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8285,,"1","3","3","1","1","1","1","1","1","1","1","6","1993.4","3","3","2","2","2","1","1","2","5","2","1","NA","1183.75","937.45","NA","1","1",,"1",1,,,,,,"2","400","1","1","1","1","1","4","4","3","3","3","3","NA","3","NA"
"2012","SE",475,"2","2012","25",61236,49106,0,0,,,,,,,,,0,0,0,2309,0,,0,,0,0,0,,12130,,"3","3","3","1","1","1","1","1","1","1","1","6","NA","3","3","2","2","2","2","1","2","5","2","1","NA","634.23","560.26","NA","1","1",,"1",1,,,,,,"2","80","1","1","2","1","1","3","4","3","3","NA","NA","NA","3","NA"
"2012","SE",507,"3","2012","13",19786,16837,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2949,,"3","3","3","1","1","1","1","1","1","1","1","4","4429.78","3","NA","2","2","2","2","1","2","4","2","1","NA","930.7","952.73","0","1","1",,"1",1,,,,,,"2","250","1","1","1","2","1","3","4","4","3","NA","3","NA","3","NA"
"2012","SE",520,"3","2012","17",28834,15506,0,0,,,,,,,,,0,0,0,0,0,,309,,0,767,0,,12562,,"3","3","NA","1","1","1","1","1","1","1","1","6","5537.22","3","NA","2","2","2","2","1","2","6","2","1","NA","777.09","462.25","0","1","1",,"1",1,,,,,,"2","260","1","1","1","1","1","4","3","4","4","3","3","NA","3","NA"
"2012","SE",531,"1","2012","52",32077,23600,0,0,,,,,,,,,0,0,0,5104,0,,0,,0,0,0,,8476,,"1","1","NA","1","1","1","1","1","1","1","1","5","1661.17","3","NA","2","2","2","2","1","2","4","2","1","NA","1183.75","685.51","NA","1","1",,"1",1,,,,,,"2","75","1","1","1","1","2","4","3","3","4","3","4","NA","3","NA"
"2012","SE",541,"2","2012","19",31808,2226,0,0,,,,,,,,,0,0,0,0,0,,3779,,0,5775,0,,23806,,"3","3","3","1","1","1","1","1","1","1","1","4","2214.89","3","NA","2","2","2","2","1","2","5","2","1","NA","777.09","850.52","NA","1","1",,"1",1,,,,,,"2","150","1","1","1","1","1","4","3","4","3","4","2","NA","3","NA"
"2012","SE",542,"4","2012","18",44958,38387,0,0,,,,,,,,,0,0,0,0,0,,1910,,0,0,0,,6571,,"3","3","3","2","1","1","1","1","1","1","1","4","2214.89","2","NA","2","2","2","2","1","2","6","2","1","NA","1050.19","920.4","NA","1","1",,"1",1,,,,,,"2","127","1","1","1","1","1","2","4","4","4","2","3","NA","2","NA"
"2012","SE",593,"3","2012","14",30449,-34635,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,65084,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","3","5","2","1","NA","634.68","593.15","NA","1","1",,"1",1,,,,,,"2","200","1","1","2","1","1","4","4","4","NA","3","2","NA","3","NA"
"2012","SE",594,"2","2012","14",97339,92399,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4940,,"3","3","3","1","1","1","1","1","1","1","1","5","2214.89","1","3","2","1","2","2","1","1","3","2","1","NA","1183.75","690.82","NA","1","1",,"1",1,,,,,,"1","125","1","1","1","1","1","3","4","2","3","3","2","NA","3","NA"
"2012","SE",602,"3","2012","17",18143,16930,0,0,,,,,,,,,0,0,0,0,0,,1,,0,0,0,,1213,,"3","3","NA","1","1","2","1","1","1","1","3","1","1328.93","3","NA","2","2","2","2","4","2","3","2","1","NA","NA","455.27","110.74","1","1",,"1",1,,,,,,"2","250","1","1","1","1","1","3","3","NA","3","2","3","NA","3","NA"
"2012","SE",607,"3","2012","21",197703,153547,0,0,,,,,,,,,0,0,0,0,0,,5476,,0,0,0,,44156,,"NA","3","NA","1","1","1","1","1","1","1","1","6","1882.66","3","NA","2","2","2","2","1","2","3","2","1","741.99","930.7","361.91","NA","1","1",,"1",1,,,,,,"1","210","1","1","1","1","1","4","4","4","4","NA","3","NA","3","NA"
"2012","SE",625,"1","2012","20",49730,42286,0,0,,,,,,,,,0,0,0,0,0,,660,,0,0,0,,7444,,"3","3","NA","1","1","1","1","1","1","1","3","6","1661.17","3","NA","2","2","2","2","4","2","3","2","1","NA","930.7","929.15","221.49","1","1",,"1",1,,,,,,"1","82","1","1","1","1","1","4","4","4","3","4","NA","NA","3","NA"
"2012","SE",635,"4","2012","62",20416,18142,0,0,,,,,,,,,0,0,0,0,0,,4,,0,144,0,,2131,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","1","1","2","2","NA","2","4","1","2","1","1","NA","1069.35","530.24","0","1","1",,"1",1,,,,,,"2","145","1","1","1","1","1","4","3","4","3","3","3","NA","3","NA"
"2012","SE",643,"1","2012","10",43655,40833,0,0,,,,,,,,,0,0,0,0,0,,75,,0,0,0,,2822,,"NA","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","1","2","2","2","1","1","6","2","1","664.47","930.7","477.75","NA","1","1",,"1",1,,,,,,"2","200","1","1","1","1","1","4","4","NA","4","4","3","NA","3","NA"
"2012","SE",656,"4","2012","22",38283,37890,0,0,,,,,,,,,0,0,0,0,0,,230,,0,0,0,,393,,"3","3","NA","2","2","2","1","1","1","1","1","6","NA","2","NA","2","2","2","2","1","2","6","2","2","NA","930.7","512.19","129.2","1","1",,"1",1,,,,,,"2","110","1","1","1","1","1","3","3","3","3","3","4","NA","NA","NA"
"2012","SE",692,"4","2012","20",25571,20677,0,0,,,,,,,,,0,0,0,0,0,,120,,0,87,0,,4807,,"NA","3","NA","1","1","1","1","1","1","1","1","4","2214.89","3","3","2","2","2","2","1","2","6","1","1","NA","930.7","952.73","0","1","1",,"1",1,,,,,,"2","120","1","1","1","1","1","4","4","3","1","NA","3","NA","3","NA"
"2012","SE",701,"2","2012","33",29526,27525,0,0,,,,,,,,,0,0,0,0,0,,1475,,0,22,0,,1979,,"3","3","NA","1","1","1","1","1","1","1","1","NA","NA","2","2","2","2","2","1","4","2","2","2","1","NA","854.95","830.14","NA","1","1",,"1",1,,,,,,"2","69","1","1","1","1","1","3","3","3","3","4","4","NA","3","NA"
"2012","SE",705,"4","2012","NA",4633,869,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3764,,"3","3","NA","1","1","2","1","1","1","1","2","6","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","687.17","564.35","221.49","1","1",,"1",1,,,,,,"2","120","1","2","1","1","1","3","2","3","3","4","4","NA","2","NA"
"2012","SE",711,"1","2012","20",16386,11462,0,0,,,,,,,,,0,0,0,0,0,,7,,0,0,0,,4923,,"3","3","1","1","1","1","1","1","1","1","1","6","2768.61","2","NA","2","2","2","2","1","2","6","2","1","NA","NA","554.94","NA","1","1",,"1",1,,,,,,"2","150","1","1","1","1","1","3","4","3","3","3","3","NA","3","NA"
"2012","SE",715,"1","2012","50",9015,2753,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6262,,"3","3","3","1","1","2","1","1","1","1","1","3","3100.84","2","NA","2","2","2","1","4","2","5","2","1","NA","1183.75","606.99","NA","1","1",,"1",1,,,,,,"1","185","1","1","1","1","1","4","4","NA","4","1","3","NA","3","NA"
"2012","SE",755,"1","2012","23",54070,50752,0,0,,,,,,,,,0,0,0,5938,0,,0,,0,1034,0,,2284,,"3","3","3","1","1","1","1","1","1","1","1","4","2104.14","NA","NA","2","2","2","2","1","2","3","2","1","NA","NA","532.79","110.74","1","1",,"1",1,,,,,,"2","100","2","1","1","1","1","4","3","3","2","NA","3","NA","3","NA"
"2012","SE",778,"3","2012","21",9241,7133,0,0,,,,,,,,,0,0,0,0,0,,4520,,0,0,0,,2108,,"3","3","NA","1","1","1","1","1","1","1","2","4","2214.89","NA","NA","2","2","2","2","1","2","3","2","1","477.75","1050.19","687.39","NA","1","1",,"1",1,,,,,,"2","125","1","1","1","1","1","4","3","4","4","4","3","NA","3","NA"
"2012","SE",784,"2","2012","18",30278,12831,0,0,,,,,,,,,0,0,0,0,0,,262,,0,0,0,,17447,,"3","3","3","1","1","1","1","1","1","1","3","4","1328.93","2","3","2","2","2","2","4","2","5","2","1","NA","516.18","715.52","NA","1","1",,"1",1,,,,,,"2","170","1","1","1","1","1","4","2","3","1","2","3","NA","3","NA"
"2012","SE",873,"3","2012","18",1338,-18071,0,0,,,,,,,,,0,0,0,0,0,,31,,0,566,0,,18843,,"3","3","NA","2","1","2","1","1","1","1","1","5","2768.61","3","NA","2","2","2","2","1","1","4","2","1","332.23","NA","527.25","NA","1","1",,"1",1,,,,,,"1","170","1","2","1","1","1","4","3","4","3","2","4","NA","2","NA"
"2012","SE",892,"2","2012","21",39446,33188,0,0,,,,,,,,,0,0,0,0,0,,320,,0,0,0,,6258,,"3","3","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","4","2","6","2","1","NA","930.7","470","0","1","1",,"1",1,,,,,,"2","170","1","1","NA","1","1","4","4","4","3","NA","3","NA","3","NA"
"2012","SE",900,"1","2012","14",20477,15719,0,0,,,,,,,,,0,0,0,0,0,,146,,0,4759,0,,0,,"3","3","3","1","2","2","1","1","1","1","1","5","2325.63","3","NA","2","1","2","2","4","2","4","2","1","NA","NA","884.85","922.87","1","1",,"1",1,,,,,,"1","120","1","1","1","1","1","4","NA","3","3","4","4","NA","3","NA"
"2012","SE",906,"3","2012","37",135,-4856,0,0,,,,,,,,,0,0,0,0,0,,135,,0,0,0,,4991,,"3","3","3","2","1","1","1","1","1","1","1","6","2214.89","1","3","2","2","2","2","1","2","6","2","1","NA","930.7","582.63","NA","1","1",,"1",1,,,,,,"2","180","1","1","1","1","1","4","3","3","2","4","3","NA","3","NA"
"2012","SE",911,"1","2012","33",36042,33307,0,0,,,,,,,,,0,0,0,0,0,,80,,0,11,0,,2724,,"3","3","NA","1","1","1","1","3","1","1","1","6","830.58","1","NA","2","2","2","2","4","1","6","2","1","NA","NA","830.92","110.74","1","1",,"1",1,,,,,,"2","163","1","1","1","1","1","4","4","NA","3","3","4","NA","3","NA"
"2012","SE",923,"3","2012","70",30571,13754,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16817,,"3","3","NA","2","1","1","1","1","1","1","1","3","885.96","3","NA","NA","1","2","2","4","1","5","2","1","NA","930.7","596.36","0","1","1",,"1",1,,,,,,"2","89","1","1","1","1","1","3","3","4","4","4","3","NA","3","NA"
"2012","SE",929,"1","2012","20",29095,24440,0,0,,,,,,,,,0,0,0,0,0,,1508,,0,0,0,,4655,,"3","3","NA","1","1","2","1","1","1","1","1","3","NA","3","2","2","1","2","2","1","2","5","2","1","777.09","NA","1375.89","0","1","1",,"1",1,,,,,,"2","150","1","1","1","1","1","4","3","3","4","3","2","NA","3","NA"
"2012","SE",973,"3","2012","19",22951,19856,0,0,,,,,,,,,0,0,0,0,0,,0,,0,660,0,,2434,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","2","1","2","2","2","1","4","2","1","2","1","NA","477.75","1378.77","NA","NA","1",,"1",1,,,,,,"2","NA","1","1","1","2","1","4","3","3","4","4","3","NA","3","NA"
"2012","SE",995,"2","2012","17",28891,18886,0,0,,,,,,,,,0,0,0,0,0,,494,,0,0,0,,10005,,"NA","3","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","1","1","2","6","2","1","NA","1050.19","707.77","NA","1","1",,"1",1,,,,,,"2","200","1","1","1","1","1","4","3","4","4","3","4","NA","3","NA"
"2012","SE",1016,"2","2012","15",24046,19338,0,0,,,,,,,,,0,0,0,0,0,,3172,,0,0,0,,4708,,"3","3","NA","1","1","2","1","1","1","1","1","6","2214.89","2","NA","2","2","2","2","1","2","5","2","1","NA","930.7","1112.65","NA","1","1",,"1",1,,,,,,"2","80","1","1","1","1","1","4","4","4","4","3","3","NA","3","NA"
"2012","SE",1019,"2","2012","14",31100,27977,0,0,,,,,,,,,0,0,0,0,0,,139,,0,1014,0,,2110,,"1","3","3","1","1","1","1","1","1","1","1","4","NA","2","2","2","2","2","2","3","2","6","2","1","NA","566.57","581.08","NA","1","1",,"1",1,,,,,,"1","178","1","1","1","1","2","4","3","3","4","4","3","NA","3","NA"
"2012","SE",1020,"3","2012","31",61365,55317,0,0,,,,,,,,,0,0,0,0,0,,92,,0,0,0,,6048,,"3","1","NA","1","2","1","1","1","1","1","2","6","4429.78","2","1","2","2","2","1","1","1","3","2","1","NA","930.7","1133.14","NA","1","1",,"1",1,,,,,,"2","113","2","1","1","1","1","4","2","4","4","3","3","NA","3","NA"
"2012","SE",1024,"3","2012","36",25750,23320,0,0,,,,,,,,,0,0,0,0,0,,704,,0,0,0,,2429,,"3","3","NA","1","1","1","1","1","1","1","3","5","2214.89","3","2","2","1","2","1","4","3","6","2","1","NA","687.17","606.99","NA","1","1",,"1",1,,,,,,"2","135","1","1","1","1","1","4","4","3","4","3","3","NA","3","NA"
"2012","SE",1068,"3","2012","12",20991,16533,0,0,,,,,,,,,0,0,0,0,0,,95,,0,699,0,,3758,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","3","3","2","2","2","2","1","1","6","2","1","NA","NA","1094.6","110.74","1","1",,"1",1,,,,,,"2","75","1","1","1","1","1","4","3","4","4","NA","3","NA","3","NA"
"2012","SE",1095,"3","2012","17",39675,35720,0,0,,,,,,,,,0,0,0,18070,0,,0,,0,0,0,,3955,,"3","3","NA","1","1","1","1","1","1","1","2","5","NA","3","NA","2","2","2","2","1","2","5","1","1","NA","1050.19","769.78","0","1","1",,"1",1,,,,,,"2","250","1","1","1","1","1","4","4","3","3","1","3","NA","3","NA"
"2012","SE",1097,"3","2012","15",23137,5535,0,0,,,,,,,,,0,0,0,0,0,,49,,0,1951,0,,15652,,"3","3","3","1","1","NA","1","1","1","1","1","4","3322.33","3","3","2","1","2","2","1","2","6","2","1","NA","NA","876.32","NA","1","1",,"1",1,,,,,,"1","150","1","1","1","1","1","2","4","4","4","1","2","NA","3","NA"
"2012","SE",1136,"2","2012","31",44616,38215,0,0,,,,,,,,,0,0,0,0,0,,0,,0,70,0,,6331,,"3","3","3","2","1","2","1","1","1","1","2","6","2768.61","3","2","2","2","2","2","2","2","2","2","1","NA","NA","721.06","NA","1","1",,"1",1,,,,,,"1","168","1","1","2","1","1","4","4","4","3","3","3","NA","3","NA"
"2012","SE",1142,"3","2012","14",46887,37216,0,0,,,,,,,,,0,0,0,0,0,,3543,,0,0,0,,9671,,"NA","3","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","1050.19","1402.36","NA","1","1",,"1",1,,,,,,"2","250","1","1","1","1","1","3","4","4","NA","1","3","NA","3","NA"
"2012","SE",1147,"2","2012","10",83901,77050,0,0,,,,,,,,,0,0,0,0,0,,10,,0,0,0,,6852,,"3","3","3","1","1","1","1","1","1","1","1","4","2214.89","3","3","2","2","2","1","1","2","4","2","1","841.66","911.54","606.99","664.47","1","1",,"1",1,,,,,,"NA","185","1","1","1","1","1","4","3","3","NA","4","1","NA","3","NA"
